1104,"Ludzas novada Dome ","Ludzas 2.vidusskola","P.Miglinīka iela 34 a, Ludza, Ludzas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1104,"12.01.2010.","31.07.2017.","(nomaiņa)",,"aktualizēta",,"Ludzas novads"
1105,"Ludzas novada Dome ","Ludzas 2.vidusskola","P.Miglinīka iela 34 a, Ludza, Ludzas novads",2,1,"011",1,2,1,"Pamatizglītības mazākumtautību programma","V-",1105,"12.01.2010.","31.07.2017.","(nomaiņa)",,"aktualizēta","1.modelis","Ludzas novads"
1106,"Ludzas novada Dome ","Ludzas 2.vidusskola","P.Miglinīka iela 34 a, Ludza, Ludzas novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1106,"12.01.2010.","31.07.2017.","(nomaiņa)",,,,"Ludzas novads"
1113,"Ventspils novada Dome","Užavas pamatskola","""Užavas pamatskola"", Užava, Užavas pagasts, Ventspils novads",2,1,"015",6,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem","V-",1113,"12.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Ventspils novads"
1114,"Talsu novada Dome","Talsu Valsts ģimnāzija","Brīvības iela 29, Talsi, Talsu novads",2,3,"011",1,1,1,"Pamatizglītības otrā posma izglītības programma","V-",1114,"12.01.2010.","uz nenoteiktu laiku",,,,,"Talsu novads"
1115,"Talsu novada Dome","Talsu Valsts ģimnāzija","Brīvības iela 29, Talsi, Talsu novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1115,"12.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Talsu novads"
1116,"Talsu novada Dome","Talsu Valsts ģimnāzija","Brīvības iela 29, Talsi, Talsu novads",3,1,"012",0,1,1,"Vispārējās vidējās izglītības humanitārā un sociālā virziena programma","V-",1116,"12.01.2010.","uz nenoteiktu laiku",,,,,"Talsu novads"
1117,"Talsu novada Dome","Talsu Valsts ģimnāzija","Brīvības iela 29, Talsi, Talsu novads",3,1,"013",0,1,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programma","V-",1117,"12.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Talsu novads"
1118,"Talsu novada Dome","Talsu Valsts ģimnāzija","Brīvības iela 29, Talsi, Talsu novads",3,1,"014",0,1,1,"Vispārējās vidējās izglītības profesionāli orientētā virziena programma","V-",1118,"12.01.2010.","uz nenoteiktu laiku",,,,,"Talsu novads"
1119,"Aizputes novada Dome","Aizputes vidusskola","Ziedu iela 7, Aizpute, Aizputes novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1119,"12.01.2010.","uz nenoteiktu laiku",,,,,"Aizputes novads"
1120,"Aizputes novada Dome","Aizputes vidusskola","Ziedu iela 7, Aizpute, Aizputes novads",3,1,"013",0,1,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programma","V-",1120,"12.01.2010.","uz nenoteiktu laiku",,,,,"Aizputes novads"
1121,"Aizputes novada Dome","Aizputes vidusskola","Ziedu iela 7, Aizpute, Aizputes novads",3,1,"014",0,1,1,"Vispārējās vidējās izglītības profesionāli orientētā virziena programma","V-",1121,"12.01.2010.","uz nenoteiktu laiku",,,,,"Aizputes novads"
1122,"Alsungas novada Dome","Alsungas vidusskola","Skolas iela 11, Alsunga, Alsungas novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1122,"12.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Alsungas novads"
1124,"Valkas novada Dome","Valkas ģimnāzija","Raiņa iela 28a, Valka, Valkas novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1124,"12.01.2010.","uz nenoteiktu laiku",,,,,"Valkas novads"
1125,"Valkas novada Dome","Valkas ģimnāzija","Raiņa iela 28a, Valka, Valkas novads",3,1,"011",0,1,3,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1125,"12.01.2010.","uz nenoteiktu laiku",,,,,"Valkas novads"
1126,"Valkas novada Dome","Valkas ģimnāzija","Raiņa iela 28a, Valka, Valkas novads",3,1,"013",0,1,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programma","V-",1126,"12.01.2010.","uz nenoteiktu laiku",,,,,"Valkas novads"
1128,"Jelgavas pilsētas Dome","Jelgavas 5.vidusskola","Aspazijas iela 20, Jelgava",3,1,"011",0,2,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena mazākumtautību programma","V-",1128,"12.01.2010.","uz nenoteiktu laiku",,,,,"Jelgava"
1129,"Jelgavas pilsētas Dome","Jelgavas 5.vidusskola","Aspazijas iela 20, Jelgava",3,1,"013",0,2,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena mazākumtautību programma","V-",1129,"12.01.2010.","uz nenoteiktu laiku",,,,,"Jelgava"
1130,"Ilūkstes novada Dome","Subates pamatskola","Tirgus laukums 20, Subate, Ilūkstes novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1130,"12.01.2010.","uz nenoteiktu laiku",,,,,"Ilūkstes novads"
1131,"Ilūkstes novada Dome","Subates pamatskola","Tirgus laukums 20, Subate, Ilūkstes novads",2,1,"015",8,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar garīgās attīstības traucējumiem","V-",1131,"12.01.2010.","31.07.2017.","(nomaiņa)",,,,"Ilūkstes novads"
1140,"Aizputes novada Dome","Aizputes pagasta pamatskola","""Skola"", Rokasbirze, Aizputes pagasts, Auzputes novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1140,"12.01.2010.","31.07.2018.","(nomaiņa)",,"aktualizēta",,"Aizputes novads"
1143,"Rūjienas novada dome","Vilpulkas sākumskola","""Vilpulkas sākumskola"", Vilpulka, Vilpulkas pagasts, Rūjienas novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1143,"12.01.2010.","31.07.2018.","(nomaiņa)",,,,"Rūjienas novads"
1144,"Rūjienas novada dome","Vilpulkas sākumskola","""Vilpulkas sākumskola"", Vilpulka, Vilpulkas pagasts, Rūjienas novads",1,1,"011",1,1,1,"Pamatizglītības pirmā posma izglītības programma","V-",1144,"12.01.2010.","31.07.2018.","(nomaiņa)",,,,"Rūjienas novads"
1145,"Babītes novada Dome","Babītes vidusskola","Jūrmalas iela 17, Piņķi, Babītes novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1145,"12.01.2010.","31.07.2018.","(nomaiņa)",,"aktualizēta",,"Babītes novads"
1147,"Aglonas novada Dome","Priežmalas pamatskola","""Priežmalas pamatskola"", Priežmale, Kastuļinas pagasts, Aglonas novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1147,"12.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Aglonas novads"
1148,"Aglonas novada Dome","Priežmalas pamatskola","""Priežmalas pamatskola"", Priežmale, Kastuļinas pagasts, Aglonas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1148,"12.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Aglonas novads"
1149,"Valmieras pilsētas Dome","Valmieras 5.vidusskola","Raiņa iela 3, Valmiera",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1149,"14.01.2010.","uz nenoteiktu laiku",,,,,"Valmiera"
1150,"Valmieras pilsētas Dome","Valmieras 5.vidusskola","Raiņa iela 3, Valmiera",3,1,"013",0,1,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programma","V-",1150,"14.01.2010.","uz nenoteiktu laiku",,,,,"Valmiera"
1151,"Valmieras pilsētas Dome","Valmieras 5.vidusskola","Raiņa iela 3, Valmiera",3,1,"014",0,1,1,"Vispārējās vidējās izglītības profesionāli orientētā virziena programma","V-",1151,"14.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Valmiera"
1152,"Valmieras pilsētas Dome","Valmieras 5.vidusskola","Raiņa iela 3, Valmiera",3,1,"012",0,1,1,"Vispārējās vidējās izglītības humanitārā un sociālā virziena programma","V-",1152,"14.01.2010.","uz nenoteiktu laiku",,,,,"Valmiera"
1153,"Valmieras pilsētas Dome","Valmieras 5.vidusskola","Raiņa iela 3, Valmiera",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1153,"14.01.2010.","uz nenoteiktu laiku",,,,,"Valmiera"
1154,"Dobeles novada Dome","Bikstu pamatskola","""Alejas"", Līvi, Bikstu pagasts, Dobeles novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1154,"14.01.2010.","uz nenoteiktu laiku",,,,,"Dobeles novads"
1155,"Dobeles novada Dome","Bikstu pamatskola","""Alejas"", Līvi, Bikstu pagasts, Dobeles novads",2,1,"015",8,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar garīgās attīstības traucējumiem","V-",1155,"14.01.2010.","31.07.2017.","(nomaiņa)",,,,"Dobeles novads"
1156,"Salaspils novada Dome","Salaspils novada pašvaldības iestāde ""Salaspils 1.vidusskola""","Lauku iela 1, Salaspils, Salaspils novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1156,"14.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Salaspils novads"
1157,"Rēzeknes pilsētas Dome","Rēzeknes 3.vidusskola","18.novembra iela 33, Rēzekne",3,1,"011",0,2,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena mazākumtautību programma","V-",1157,"14.01.2010.","uz nenoteiktu laiku",,,,,"Rēzekne"
