"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",39.55%
"Aglonas novads","Šķeltovas pamatskola",64.77%
"Aglonas novads","Aglonas vidusskola",72.73%
"Aglonas novads","Aglonas Katoļu ģimnāzija",69.09%
"Aglonas novads","Aglonas internātvidusskola",41.95%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",51.45%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",64.70%
"Aizputes novads","Aizputes pagasta pamatskola",55.12%
"Aizputes novads","Apriķu pamatskola",68.79%
"Aizputes novads","Dzērves pamatskola",64.02%
"Aizputes novads","Kalvenes pamatskola",67.52%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",71.26%
"Aizputes novads","Aizputes vidusskola",62.05%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",50.00%
"Aizputes novads","Cīravas Profesionālā vidusskola",53.01%
"Aknīstes novads","Asares pamatskola",50.91%
"Aknīstes novads","Gārsenes pamatskola",60.76%
"Aknīstes novads","Aknīstes vidusskola",69.94%
"Alojas novads","Ozolmuižas pamatskola",58.79%
"Alojas novads","Puikules pamatskola",63.18%
"Alojas novads","Alojas Ausekļa vidusskola",63.67%
"Alojas novads","Staiceles vidusskola",60.86%
"Alsungas novads","Alsungas vidusskola",69.20%
"Alūksnes novads","Bejas pamatskola",57.52%
"Alūksnes novads","Ilzenes pamatskola",74.55%
"Alūksnes novads","Malienas pamatskola",70.23%
"Alūksnes novads","Mālupes pamatskola",62.93%
"Alūksnes novads","Mārkalnes pamatskola",69.22%
"Alūksnes novads","Strautiņu pamatskola",62.48%
"Alūksnes novads","Ziemeru pamatskola",51.82%
"Alūksnes novads","Jaunannas Mūzikas un mākslas pamatskola",70.45%
"Alūksnes novads","Pededzes pamatskola",84.24%
"Alūksnes novads","Liepnas vidusskola",68.55%
"Alūksnes novads","Alūksnes novada vidusskola",58.60%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",71.70%
"Alūksnes novads","Alsviķu Profesionālā skola",52.91%
"Alūksnes novads","Liepnas internātpamatskola",60.91%
"Amatas novads","Amatas pamatskola",59.55%
"Amatas novads","Sērmūkšu pamatskola",63.64%
"Amatas novads","Skujenes pamatskola",63.27%
"Amatas novads","Zaubes pamatskola",70.61%
"Amatas novads","Nītaures vidusskola",71.36%
"Apes novads","Sikšņu pamatskola",71.45%
"Apes novads","Trapenes pamatskola",59.39%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",58.83%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",62.07%
"Apes novads","Gaujienas speciālā internātpamatskola",69.70%
"Auces novads","Auces vidusskola",62.34%
"Auces novads","Bēnes vidusskola",69.14%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",69.19%
"Ādažu novads","Ādažu vidusskola",66.35%
"Babītes novads","Babītes vidusskola",65.99%
"Baldones novads","Baldones Mūzikas pamatskola",79.02%
"Baldones novads","Baldones vidusskola",67.43%
"Baltinavas novads","Baltinavas vidusskola",55.98%
"Balvu novads","Briežuciema pamatskola",66.97%
"Balvu novads","Stacijas pamatskola",65.80%
"Balvu novads","Balvu Amatniecības vidusskola",67.78%
"Balvu novads","Bērzpils vidusskola",63.30%
"Balvu novads","Tilžas vidusskola",59.82%
"Balvu novads","Balvu Valsts ģimnāzija",72.47%
"Balvu novads","Tilžas internātpamatskola",65.15%
"Bauskas novads","Bauskas pilsētas pamatskola",73.81%
"Bauskas novads","Codes pamatskola",56.82%
"Bauskas novads","Griķu pamatskola",71.82%
"Bauskas novads","Jaunsaules pamatskola",67.73%
"Bauskas novads","Mežgaļu pamatskola",78.75%
"Bauskas novads","Mežotnes pamatskola",57.45%
"Bauskas novads","Ozolaines pamatskola",67.98%
"Bauskas novads","Vecsaules pamatskola",66.97%
"Bauskas novads","Īslīces vidusskola",60.97%
"Bauskas novads","Uzvaras vidusskola",72.66%
"Bauskas novads","Bauskas 2. vidusskola",61.88%
"Bauskas novads","Bauskas Valsts ģimnāzija",72.91%
"Bauskas novads","Mežotnes internātvidusskola",53.33%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",72.66%
"Beverīnas novads","Trikātas pamatskola",70.07%
"Brocēnu novads","Blīdenes pamatskola",68.77%
"Brocēnu novads","Gaiķu pamatskola",78.73%
"Brocēnu novads","Remtes pamatskola",87.88%
"Brocēnu novads","Brocēnu vidusskola",65.18%
"Burtnieku novads","Ēveles pamatskola",74.70%
"Burtnieku novads","Matīšu pamatskola",65.86%
"Burtnieku novads","Rencēnu pamatskola",67.73%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",54.85%
"Carnikavas novads","Carnikavas pamatskola",70.25%
"Cesvaines novads","Cesvaines vidusskola",62.51%
