"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",65.09%
"Aglonas novads","Aglonas vidusskola",74.30%
"Aglonas novads","Aglonas Katoļu ģimnāzija",65.45%
"Aglonas novads","Aglonas internātvidusskola",52.08%
"Aizkraukles novads","Aizkraukles 1. vidusskola",45.11%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",50.91%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",67.55%
"Aizputes novads","Aizputes pagasta pamatskola",53.86%
"Aizputes novads","Apriķu pamatskola",52.12%
"Aizputes novads","Dzērves pamatskola",57.01%
"Aizputes novads","Kalvenes pamatskola",63.90%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",53.45%
"Aizputes novads","Aizputes vidusskola",57.74%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",42.73%
"Aknīstes novads","Asares pamatskola",63.18%
"Aknīstes novads","Gārsenes pamatskola",57.84%
"Aknīstes novads","Aknīstes vidusskola",71.86%
"Alojas novads","Ozolmuižas pamatskola",52.86%
"Alojas novads","Puikules pamatskola",49.09%
"Alojas novads","Alojas Ausekļa vidusskola",63.31%
"Alojas novads","Staiceles vidusskola",49.55%
"Alsungas novads","Alsungas vidusskola",65.91%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",54.65%
"Alūksnes novads","Bejas pamatskola",58.26%
"Alūksnes novads","Ilzenes pamatskola",78.30%
"Alūksnes novads","Jaunlaicenes pamatskola",68.38%
"Alūksnes novads","Malienas pamatskola",58.44%
"Alūksnes novads","Mālupes pamatskola",66.36%
"Alūksnes novads","Mārkalnes pamatskola",56.46%
"Alūksnes novads","Strautiņu pamatskola",61.29%
"Alūksnes novads","Ziemeru pamatskola",65.45%
"Alūksnes novads","Pededzes pamatskola",68.91%
"Alūksnes novads","Liepnas vidusskola",58.61%
"Alūksnes novads","Alūksnes novada vidusskola",58.76%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",69.24%
"Alūksnes novads","Liepnas internātpamatskola",65.71%
"Amatas novads","Amatas pamatskola",62.22%
"Amatas novads","Sērmūkšu pamatskola",64.32%
"Amatas novads","Skujenes pamatskola",68.44%
"Amatas novads","Zaubes pamatskola",58.36%
"Amatas novads","Nītaures vidusskola",71.52%
"Amatas novads","Drabešu internātpamatskola",56.57%
"Apes novads","Sikšņu pamatskola",66.93%
"Apes novads","Trapenes pamatskola",52.84%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",64.77%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",65.09%
"Apes novads","Gaujienas speciālā internātpamatskola",55.96%
"Auces novads","Auces vidusskola",61.99%
"Auces novads","Bēnes vidusskola",56.36%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",68.83%
"Ādažu novads","Ādažu vidusskola",64.79%
"Babītes novads","Babītes vidusskola",71.67%
"Baldones novads","Baldones Mūzikas pamatskola",70.56%
"Baldones novads","Baldones vidusskola",65.50%
"Baltinavas novads","Baltinavas vidusskola",66.73%
"Balvu novads","Briežuciema pamatskola",59.55%
"Balvu novads","Bērzpils vidusskolas filiāle",59.55%
"Balvu novads","Stacijas pamatskola",67.84%
"Balvu novads","Tilžas vidusskolas filiāle",59.85%
"Balvu novads","Balvu Amatniecības vidusskola",58.33%
"Balvu novads","Bērzpils vidusskola",61.82%
"Balvu novads","Tilžas vidusskola",58.45%
"Balvu novads","Balvu Valsts ģimnāzija",77.91%
"Balvu novads","Tilžas internātpamatskola",56.69%
"Bauskas novads","Bauskas pilsētas pamatskola",69.29%
"Bauskas novads","Codes pamatskola",62.31%
"Bauskas novads","Griķu pamatskola",42.42%
"Bauskas novads","Mežgaļu pamatskola",85.66%
"Bauskas novads","Mežotnes pamatskola",59.89%
"Bauskas novads","Ozolaines pamatskola",75.58%
"Bauskas novads","Vecsaules pamatskola",68.83%
"Bauskas novads","Bauskas Valsts ģimnāzija",72.81%
"Bauskas novads","Īslīces vidusskola",65.26%
"Bauskas novads","Uzvaras vidusskola",73.69%
"Bauskas novads","Bauskas 2. vidusskola",58.59%
"Bauskas novads","Mežotnes internātvidusskola",49.09%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",76.36%
"Beverīnas novads","Trikātas pamatskola",72.86%
"Brocēnu novads","Blīdenes pamatskola",61.82%
"Brocēnu novads","Gaiķu pamatskola",72.21%
"Brocēnu novads","Remtes pamatskola",79.32%
"Burtnieku novads","Ēveles pamatskola",58.18%
"Burtnieku novads","Matīšu pamatskola",64.55%
"Burtnieku novads","Rencēnu pamatskola",64.79%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",69.00%
"Cesvaines novads","Cesvaines vidusskola",62.44%
"Cesvaines novads","Cesvaines internātpamatskola",46.36%
"Cēsu novads","Cēsu 1. pamatskola",64.45%
"Cēsu novads","Cēsu 2. pamatskola",69.68%
"Cēsu novads","Cēsu pilsētas pamatskola",56.12%
"Cēsu novads","Līvu pamatskola",59.77%
"Cēsu novads","Rāmuļu pamatskola",51.59%
"Cēsu novads","Cēsu 2. vidusskola",57.50%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",54.73%
"Cēsu novads","Cēsu Valsts ģimnāzija",66.89%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",82.54%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",66.06%
"Ciblas novads","Cirmas pamatskola",46.59%
"Ciblas novads","Pušmucovas pamatskola",54.09%
"Ciblas novads","Ciblas vidusskola",50.27%
"Dagdas novads","Andrupenes pamatskola",66.10%
"Dagdas novads","Andzeļu pamatskola",68.76%
"Dagdas novads","Asūnes pamatskola",60.34%
"Dagdas novads","Ezernieku vidusskola",70.49%
"Dagdas novads","Dagdas vidusskola",74.31%
"Daugavpils novads","Naujenes pamatskola",69.60%
"Daugavpils novads","Skrudalienas pamatskola",51.21%
"Daugavpils novads","Kalupes pamatskola",65.45%
"Daugavpils novads","Medumu vidusskola",70.20%
"Daugavpils novads","Vaboles vidusskola",65.35%
"Daugavpils novads","Sventes vidusskola",60.52%
"Daugavpils novads","Špoģu vidusskola",77.88%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",56.72%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",71.27%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",62.73%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",64.55%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",68.74%
"Daugavpils pilsēta","Daugavpils Mūzikas vidusskola",62.55%
"Daugavpils pilsēta","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",54.65%
"Dobeles novads","Dobeles Kristīgā pamatskola",57.00%
"Dobeles novads","Bikstu pamatskola",59.65%
"Dobeles novads","Gardenes pamatskola",44.27%
"Dobeles novads","Krimūnu pamatskola",53.90%
"Dobeles novads","Mežinieku pamatskola",63.47%
"Dobeles novads","Naudītes pamatskola",55.97%
"Dobeles novads","Penkules pamatskola",70.70%
"Dobeles novads","Lejasstrazdu pamatskola",35.45%
"Dobeles novads","Dobeles 1. vidusskola",50.36%
"Dobeles novads","Dobeles Valsts ģimnāzija",75.76%
"Dobeles novads","Dobeles Amatniecības un vispārizglītojošā vidusskola",42.08%
"Dundagas novads","Kolkas pamatskola",59.70%
"Dundagas novads","Dundagas vidusskola",69.97%
"Durbes novads","A. Spāģa Dunalkas pamatskola",55.00%
"Durbes novads","Rāvas pamatskola",69.55%
"Durbes novads","Ata Kronvalda Durbes vidusskola",74.40%
"Engures novads","Lapmežciema pamatskola",79.32%
"Engures novads","Smārdes pamatskola",49.09%
"Engures novads","Engures vidusskola",65.61%
"Ērgļu novads","Jāņa Zālīša Sausnējas pamatskola",63.82%
"Ērgļu novads","Ērgļu vidusskola",67.47%
"Garkalnes novads","Garkalnes vidusskola",65.31%
"Garkalnes novads","Berģu Mūzikas un mākslas pamatskola",62.21%
"Grobiņas novads","Bārtas pamatskola",59.09%
"Grobiņas novads","Gaviezes pamatskola",65.32%
"Grobiņas novads","Kapsēdes pamatskola",76.88%
"Grobiņas novads","Grobiņas pamatskola",58.37%
"Gulbenes novads","Daukstes pamatskola",60.14%
"Gulbenes novads","Druvienas pamatskola",67.40%
"Gulbenes novads","Galgauskas pamatskola",69.01%
"Gulbenes novads","K. Valdemāra pamatskola",54.00%
"Gulbenes novads","Litenes pamatskola",51.92%
"Gulbenes novads","Ozolkalna pamatskola",54.92%
"Gulbenes novads","Rankas pamatskola",67.73%
"Gulbenes novads","Stāķu pamatskola",67.91%
"Gulbenes novads","Stāmerienas pamatskola",61.65%
"Gulbenes novads","Tirzas pamatskola",56.59%
"Gulbenes novads","Gulbenes 2. vidusskola",66.43%
"Gulbenes novads","Gulbenes vidusskola",56.19%
"Gulbenes novads","Gulbīša vidusskola",62.60%
"Gulbenes novads","Lejasciema vidusskola",67.97%
"Gulbenes novads","Lizuma vidusskola",56.57%
"Gulbenes novads","Gulbenes Vakara (maiņu) vidusskola",48.55%
"Gulbenes novads","Gulbenes novada valsts ģimnāzija",69.44%
"Gulbenes novads","Rankas arodvidusskola",39.59%
"Iecavas novads","Dzimtmisas pamatskola",60.74%
"Iecavas novads","Iecavas vidusskola",60.51%
"Iecavas novads","Rīgas Tālmācības vidusskola",70.91%
"Iecavas novads","Iecavas internātpamatskola",63.33%
"Ilūkstes novads","Subates pamatskola",64.13%
"Ilūkstes novads","Eglaines pamatskola",68.35%
"Ilūkstes novads","Ilūkstes 1. vidusskola",74.41%
"Ilūkstes novads","Bebrenes vidusskola",72.10%
"Inčukalna novads","Inčukalna pamatskola",71.89%
"Inčukalna novads","Vangažu vidusskola",61.06%
"Jaunjelgavas novads","Daudzeses pamatskola",71.09%
"Jaunjelgavas novads","Seces pagasta pamatskola",67.58%
"Jaunjelgavas novads","Sunākstes pamatskola",51.57%
"Jaunjelgavas novads","Jaunjelgavas vidusskola",71.40%
"Jaunpiebalgas novads","Jaunpiebalgas vidusskola",57.61%
"Jaunpils novads","Jaunpils vidusskola",58.38%
"Jelgavas novads","Platones pamatskola",52.84%
"Jelgavas novads","Aizupes pamatskola",69.55%
"Jelgavas novads","Sesavas pamatskola",63.80%
"Jelgavas novads","Svētes pamatskola",60.91%
"Jelgavas novads","Vilces pamatskola",50.08%
"Jelgavas novads","Zaļenieku pamatskola",64.16%
"Jelgavas novads","Šķibes pamatskola",53.48%
"Jelgavas novads","Elejas vidusskola",57.56%
"Jelgavas novads","Kalnciema vidusskola",59.09%
"Jelgavas novads","Līvbērzes vidusskola",66.42%
"Jelgavas novads","Staļģenes vidusskola",59.83%
"Jelgavas novads","Vircavas vidusskola",61.21%
"Jelgavas novads","Kalnciema pagasta vidusskola",52.81%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts",35.06%
"Jelgavas pilsēta","Jelgavas 4. vidusskola",57.51%
"Jelgavas pilsēta","Jelgavas Vakara (maiņu) vidusskola",47.77%
"Jelgavas pilsēta","Jelgavas novada Neklātienes vidusskola",46.52%
"Jelgavas pilsēta","Jelgavas 1. ģimnāzija",58.68%
"Jelgavas pilsēta","Jelgavas Spīdolas ģimnāzija",62.48%
"Jelgavas pilsēta","Jelgavas Valsts ģimnāzija",67.22%
"Jelgavas pilsēta","Jelgavas Amatu vidusskola",49.86%
"Jelgavas pilsēta","Jelgavas 1.speciālā internātpamatskola",54.62%
"Jēkabpils novads","Ābeļu pamatskola",61.21%
"Jēkabpils novads","Bērzgala pamatskola",70.57%
"Jēkabpils novads","Dignājas pamatskola",66.67%
"Jēkabpils novads","Dunavas pamatskola",60.15%
"Jēkabpils novads","Rubenes pamatskola",61.70%
"Jēkabpils novads","Zasas vidusskola",56.45%
"Jēkabpils pilsēta","Krustpils pamatskola",64.97%
"Jēkabpils pilsēta","Jēkabpils 3. vidusskola",68.88%
"Jēkabpils pilsēta","Jēkabpils vakara vidusskola",50.64%
"Jēkabpils pilsēta","Jēkabpils Valsts ģimnāzija",69.26%
"Jūrmalas pilsēta","Jūrmalas Alternatīvā skola",79.30%
"Jūrmalas pilsēta","Slokas pamatskola",56.96%
"Jūrmalas pilsēta","Vaivaru pamatskola",63.57%
"Jūrmalas pilsēta","Ķemeru vidusskola",68.73%
"Jūrmalas pilsēta","Pumpuru vidusskola",59.73%
"Jūrmalas pilsēta","Majoru vidusskola",60.66%
"Jūrmalas pilsēta","Jūrmalas pilsētas Lielupes vidusskola",78.60%
"Jūrmalas pilsēta","Jūrmalas vakara vidusskola",46.79%
"Jūrmalas pilsēta","Murjāņu sporta ģimnāzija Jūrmalas filiāle",52.31%
"Jūrmalas pilsēta","Jūrmalas Valsts ģimnāzija",71.56%
"Kandavas novads","Cēres pamatskola",67.86%
"Kandavas novads","Kandavas novada Zantes pamatskola",70.45%
"Kandavas novads","Vānes pamatskola",68.03%
"Kandavas novads","Zemītes pamatskola",54.03%
"Kandavas novads","Kandavas Kārļa Mīlenbaha vidusskola",61.60%
"Kandavas novads","Kandavas internātvidusskola",69.49%
"Kokneses novads","Bebru pamatskola",64.04%
"Kokneses novads","Pērses pamatskola",57.73%
"Kokneses novads","Ilmāra Gaiša Kokneses vidusskola",71.68%
"Kokneses novads","Bebru internātvidusskola",46.09%
"Krāslavas novads","Krāslavas pamatskola",68.15%
"Krāslavas novads","Izvaltas pamatskola",58.79%
"Krāslavas novads","Robežnieku pamatskola",50.10%
"Krāslavas novads","Skaistas pamatskola",63.07%
"Krāslavas novads","Indras vidusskola",46.45%
"Krāslavas novads","Krāslavas Valsts ģimnāzija",64.60%
"Krimuldas novads","Garlība Merķeļa Lēdurgas pamatskola",64.65%
"Krimuldas novads","Turaidas pamatskola",48.32%
"Krimuldas novads","Krimuldas vidusskola",63.02%
"Krustpils novads","Liepenes pamatskola",61.43%
"Krustpils novads","Sūnu pamatskola",58.64%
"Krustpils novads","Mežāres pamatskola",59.60%
"Krustpils novads","Vīpes pamatskola",49.22%
"Krustpils novads","Brāļu Skrindu Atašienes vidusskola",77.07%
"Kuldīgas novads","Kuldīgas pamatskola",59.00%
"Kuldīgas novads","Ēdoles pamatskola",62.98%
"Kuldīgas novads","Laidu pamatskola",54.32%
"Kuldīgas novads","Turlavas pamatskola",60.71%
"Kuldīgas novads","Vārmes pamatskola",67.68%
"Kuldīgas novads","Vilgāles pamatskola",55.78%
"Kuldīgas novads","Z.A. Meierovica Kabiles pamatskola",47.27%
"Kuldīgas novads","Kuldīgas 2. vidusskola",59.04%
"Kuldīgas novads","Kuldīgas Centra vidusskola",62.21%
"Kuldīgas novads","Kuldīgas Mākslas un humanitāro zinību vidusskola",64.11%
"Kuldīgas novads","V. Plūdoņa Kuldīgas ģimnāzija",61.43%
