"Novads","Skola","Kopvērtējums"
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",50.57%
"Aglonas novads","Aglonas vidusskola",72.50%
"Aglonas novads","Aglonas internātvidusskola",71.50%
"Aizkraukles novads","Aizkraukles 1. vidusskola",61.30%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",49.25%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",75.56%
"Aizputes novads","Aizputes vidusskola",58.43%
"Aizputes novads","Aizputes pagasta pamatskola",73.10%
"Aizputes novads","Apriķu pamatskola",40.00%
"Aizputes novads","Dzērves pamatskola",61.29%
"Aizputes novads","Kalvenes pamatskola",67.80%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",66.42%
"Aizputes novads","Cīravas arodvidusskola",48.80%
"Aknīstes novads","Aknīstes vidusskola",69.38%
"Aknīstes novads","Asares pamatskola",65.60%
"Aknīstes novads","Gārsenes pamatskola",52.82%
"Alojas novads","Staiceles vidusskola",57.38%
"Alojas novads","Alojas Ausekļa vidusskola",78.35%
"Alojas novads","Ozolmuižas pamatskola",52.00%
"Alojas novads","Puikules pamatskola",57.43%
"Alsungas novads","Alsungas vidusskola",61.50%
"Alūksnes novads","Alūksnes vidusskola",63.60%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",42.75%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",71.07%
"Alūksnes novads","Bejas pamatskola",59.86%
"Alūksnes novads","Ilzenes pamatskola",71.00%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",53.60%
"Alūksnes novads","Jaunlaicenes pamatskola",39.71%
"Alūksnes novads","Liepnas internātpamatskola",50.50%
"Alūksnes novads","Malienas pamatskola",54.17%
"Alūksnes novads","Mālupes pamatskola",44.00%
"Alūksnes novads","Mārkalnes pamatskola",59.00%
"Alūksnes novads","Strautiņu pamatskola",57.09%
"Alūksnes novads","Ziemeru pamatskola",49.33%
"Alūksnes novads","Pededzes pamatskola",66.33%
"Alūksnes novads","Liepnas vidusskola",58.60%
"Alūksnes novads","Alsviķu Profesionālā skola",55.50%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",58.14%
"Apes novads","Sikšņu pamatskola",49.00%
"Apes novads","Trapenes pamatskola",47.43%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",51.76%
"Apes novads","Gaujienas speciālā internātpamatskola",37.00%
"Auces novads","Auces vidusskola",64.94%
"Auces novads","Bēnes vidusskola",60.22%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",74.38%
"Ādažu novads","Ādažu vidusskola",69.02%
"Babītes novads","Babītes vidusskola",68.67%
"Baldones novads","Baldones mūzikas pamatskola",63.11%
"Baldones novads","Baldones vidusskola",72.94%
