"Novads","Skola","Kopvērtējums"
"Aizkraukles novads","Aizkraukles 1. vidusskola",71.63%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",82.00%
"Alojas novads","Alojas Ausekļa vidusskola",61.83%
"Alsungas novads","Alsungas vidusskola",79.80%
"Alūksnes novads","Alūksnes vidusskola",58.10%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",67.50%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",76.90%
"Alūksnes novads","Liepnas vidusskola",77.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",67.75%
"Ādažu novads","Ādažu vidusskola",78.25%
"Babītes novads","Babītes vidusskola",71.40%
"Baltinavas novads","Baltinavas vidusskola",69.36%
"Balvu novads","Balvu Amatniecības vidusskola",63.29%
"Balvu novads","Bērzpils vidusskola",80.00%
"Balvu novads","Tilžas vidusskola",82.00%
"Bauskas novads","Bauskas 1. vidusskola",71.29%
"Bauskas novads","Bauskas 2. vidusskolaBauskas 2. vidusskola",67.14%
"Bauskas novads","Īslīces vidusskola",71.90%
"Bauskas novads","Mežotnes internātvidusskola",64.00%
"Brocēnu novads","Brocēnu vidusskolaBrocēnu vidusskola",70.52%
"Cesvaines novads","Cesvaines vidusskola",67.19%
"Cēsu novads","Cēsu 2. vidusskola",67.69%
"Cēsu novads","Cēsu Valsts ģimnāzija",80.93%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",86.67%
"Dagdas novads","Ezernieku vidusskola",76.00%
"Daugavpils novads","Salienas vidusskola",85.67%
"Daugavpils novads","Sventes vidusskola",82.00%
"Daugavpils novads","Zemgales vidusskola",42.00%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",83.31%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",79.50%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",91.77%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",75.83%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",90.00%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",80.41%
"Dobeles novads","Dobeles 1. vidusskola",67.62%
"Dobeles novads","Dobeles 2. vidusskolaDobeles 2. vidusskola",58.80%
"Dobeles novads","Dobeles Valsts ģimnāzija",79.47%
"Engures novads","Engures vidusskola",75.00%
"Ērgļu novads","Ērgļu vidusskola",69.56%
"Grobiņas novads","Grobiņas ģimnāzija",76.89%
"Gulbenes novads","Gulbenes 2. vidusskola",77.40%
"Gulbenes novads","Gulbenes vidusskola",71.67%
"Gulbenes novads","Lejasciema vidusskola",78.25%
"Ikšķiles novads","Ikšķiles vidusskola",69.83%
"Ilūkstes novads","Ilūkstes 1. vidusskola",80.00%
"Ilūkstes novads","Ilūkstes Sadraudzības vidusskola",74.14%
"Ilūkstes novads","Bebrenes vidusskola",84.67%
"Inčukalna novads","Vangažu vidusskola",66.90%
"Jaunpils novads","Jaunpils vidusskola",93.00%
"Jelgavas novads","Elejas vidusskola",73.33%
"Jelgavas pilsēta","Jelgavas 4. vidusskola",68.11%
"Jelgavas pilsēta","Jelgavas 1. ģimnāzija",69.07%
"Jēkabpils novads","Zasas vidusskola",67.50%
"Jēkabpils pilsēta","Jēkabpils 3. vidusskola",70.67%
"Jēkabpils pilsēta","Jēkabpils 2. vidusskola",75.20%
"Jēkabpils pilsēta","Jēkabpils vakara vidusskola",77.80%
"Jēkabpils pilsēta","Jēkabpils Valsts ģimnāzija",77.24%
"Jūrmalas pilsēta","Ķemeru vidusskola",69.67%
"Jūrmalas pilsēta","Pumpuru vidusskola",65.00%
"Kandavas novads","Kandavas Kārļa Mīlenbaha vidusskola",42.00%
"Kārsavas novads","Kārsavas vidusskola",79.50%
"Krāslavas novads","Krāslavas Varavīksnes vidusskola",73.43%
"Krāslavas novads","Krāslavas Valsts ģimnāzija",79.20%
"Krāslavas novads","Indras vidusskola",92.20%
"Krimuldas novads","Krimuldas vidusskola",64.83%
"Krustpils novads","Brāļu Skrindu Atašienes vidusskola",64.00%
"Kuldīgas novads","Kuldīgas 2. vidusskola",75.40%
"Kuldīgas novads","Kuldīgas Centra vidusskola",70.33%
"Kuldīgas novads","V. Plūdoņa Kuldīgas ģimnāzija",52.38%
"Ķeguma novads","Ķeguma komercnovirziena vidusskola",79.00%
"Ķekavas novads","Ķekavas vidusskola",79.10%
"Lielvārdes novads","Edgara Kauliņa Lielvārdes vidusskola",72.06%
"Lielvārdes novads","Jumpravas vidusskola",72.40%
"Liepājas pilsēta","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola",93.00%
"Liepājas pilsēta","J. Čakstes Liepājas pilsētas 10. vidusskola",79.83%
"Liepājas pilsēta","Liepājas 15. vidusskola",81.00%
"Liepājas pilsēta","Liepājas Raiņa 6. vidusskola",73.67%
"Liepājas pilsēta","Liepājas pilsētas 12. vidusskola",93.50%
"Liepājas pilsēta","Liepājas Valsts 1. ģimnāzija",80.12%
"Limbažu novads","Limbažu 1. vidusskola",74.00%
"Limbažu novads","Limbažu 2. vidusskola",78.00%
"Limbažu novads","Limbažu 3. vidusskola",83.67%
"Limbažu novads","Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola",92.00%
"Līvānu novads","Līvānu 1. vidusskola",79.00%
"Līvānu novads","Līvānu novada Vakara (maiņu) vidusskola",56.33%
"Lubānas novads","Lubānas vidusskola",67.63%
"Ludzas novads","Ludzas pilsētas ģimnāzija",82.11%
"Madonas novads","Madonas pilsētas 2. vidusskola",66.21%
"Madonas novads","Madonas Vakara un neklātienes vidusskola",47.33%
"Madonas novads","Madonas Valsts ģimnāzija",88.00%
"Madonas novads","Ļaudonas vidusskola",72.36%
"Mālpils novads","Mālpils vidusskola",80.00%
"Mārupes novads","Mārupes vidusskola",64.00%
"Naukšēnu novads","Naukšēnu novada vidusskola",88.00%
"Neretas novads","Neretas Jāņa Jaunsudrabiņa vidusskola",82.00%
"Ogres novads","Ogres 1. vidusskola",87.60%
"Ogres novads","Ogres Valsts ģimnāzija",79.15%
"Ogres novads","Madlienas vidusskola",70.94%
"Ogres novads","Taurupes vidusskola",60.25%
"Olaines novads","Olaines 2. vidusskola",64.33%
"Ozolnieku novads","Ozolnieku vidusskola",55.00%
"Pārgaujas novads","Stalbes vidusskola",65.14%
"Pļaviņu novads","Pļaviņu novada ģimnāzija",79.60%
"Preiļu novads","Preiļu 2. vidusskola",79.00%
"Priekuļu novads","Priekuļu vidusskola",76.36%
"Rēzeknes novads","Maltas 1. vidusskola",89.00%
"Rēzeknes novads","Nautrēnu vidusskola",83.33%
"Rēzeknes novads","Maltas 2. vidusskola",76.50%
"Rēzeknes pilsēta","Rēzeknes 1. vidusskola",83.81%
"Rēzeknes pilsēta","Rēzeknes valsts poļu ģimnāzija",84.56%
"Rēzeknes pilsēta","Rēzeknes 6. vidusskola",74.07%
"Rīgas pilsēta (Centra raj.)","Rīgas 99. vidusskola",74.40%
"Rīgas pilsēta (Centra raj.)","Rīgas Centra humanitārā vidusskola",83.75%
"Rīgas pilsēta (Centra raj.)","Rīgas 40. vidusskola",88.86%
