"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",48.17%
"Aglonas novads","Šķeltovas pamatskola",68.53%
"Aglonas novads","Aglonas vidusskola",65.50%
"Aglonas novads","Aglonas internātvidusskola",36.00%
"Aizkraukles novads","Aizkraukles 1. vidusskola",61.54%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",39.73%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",59.54%
"Aizputes novads","Aizputes pagasta pamatskola",36.67%
"Aizputes novads","Apriķu pamatskola",49.52%
"Aizputes novads","Dzērves pamatskola",68.76%
"Aizputes novads","Kalvenes pamatskola",77.33%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",45.67%
"Aizputes novads","Aizputes vidusskola",51.59%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",59.56%
"Aknīstes novads","Asares pamatskola",35.33%
"Aknīstes novads","Gārsenes pamatskola",40.22%
"Aknīstes novads","Aknīstes vidusskola",48.12%
"Alojas novads","Ozolmuižas pamatskola",45.78%
"Alojas novads","Alojas Ausekļa vidusskola",45.33%
"Alojas novads","Staiceles vidusskola",54.58%
"Alsungas novads","Alsungas vidusskola",44.15%
"Alūksnes novads","Bejas pamatskola",45.33%
"Alūksnes novads","Ilzenes pamatskola",46.67%
"Alūksnes novads","Jaunlaicenes pamatskola",65.21%
"Alūksnes novads","Malienas pamatskola",52.67%
"Alūksnes novads","Mālupes pamatskola",46.67%
"Alūksnes novads","Mārkalnes pamatskola",44.00%
"Alūksnes novads","Pededzes pamatskola",67.47%
"Alūksnes novads","Strautiņu pamatskola",60.89%
"Alūksnes novads","Ziemeru pamatskola",68.89%
"Alūksnes novads","Alūksnes novada vidusskola",37.67%
"Alūksnes novads","Liepnas vidusskola",61.33%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",62.36%
"Alūksnes novads","Liepnas internātpamatskola",68.50%
"Amatas novads","Amatas pamatskola",64.73%
"Amatas novads","Sērmūkšu pamatskola",72.89%
"Amatas novads","Skujenes pamatskola",56.33%
"Amatas novads","Zaubes pamatskola",49.00%
"Amatas novads","Nītaures vidusskola",57.47%
"Amatas novads","Drabešu internātpamatskola",30.52%
"Apes novads","Sikšņu pamatskola (Apes novads)",56.80%
"Apes novads","Trapenes pamatskola",30.67%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",61.47%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",51.85%
"Apes novads","Gaujienas internātpamatskola",38.67%
"Auces novads","Auces vidusskola",54.20%
"Auces novads","Bēnes vidusskola",53.73%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",56.89%
"Ādažu novads","Ādažu vidusskola",58.74%
"Babītes novads","Babītes vidusskola",70.56%
"Baldones novads","Baldones Mūzikas pamatskola",58.67%
"Baldones novads","Baldones vidusskola",55.04%
"Baltinavas novads","Baltinavas vidusskola",60.80%
"Balvu novads","Briežuciema pamatskola",59.50%
"Balvu novads","Stacijas pamatskola",43.78%
"Balvu novads","Balvu pamatskola",57.33%
"Balvu novads","Balvu Amatniecības vidusskola",41.75%
"Balvu novads","Bērzpils vidusskola",56.83%
"Balvu novads","Tilžas vidusskola",58.55%
"Balvu novads","Tilžas vidusskolas Vectilžas filiāle",66.67%
"Balvu novads","Balvu Valsts ģimnāzija",63.70%
"Balvu novads","Tilžas internātpamatskola",45.78%
"Bauskas novads","Bauskas pilsētas pamatskola",59.65%
"Bauskas novads","Codes pamatskola",54.46%
"Bauskas novads","Griķu pamatskola",54.00%
"Bauskas novads","Jaunsaules pamatskola",55.81%
"Bauskas novads","Mežgaļu pamatskola",73.33%
"Bauskas novads","Mežotnes pamatskola",39.03%
"Bauskas novads","Ozolaines pamatskola",71.11%
"Bauskas novads","Vecsaules pamatskola",76.36%
"Bauskas novads","Bauskas 2. vidusskola",51.82%
"Bauskas novads","Īslīces vidusskola",45.08%
"Bauskas novads","Uzvaras vidusskola",60.99%
"Bauskas novads","Bauskas Valsts ģimnāzija",61.84%
"Bauskas novads","Mežotnes internātvidusskola",26.00%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",72.67%
"Beverīnas novads","Trikātas pamatskola",72.00%
"Brocēnu novads","Gaiķu pamatskola",52.53%
"Brocēnu novads","Brocēnu vidusskola",47.56%
"Burtnieku novads","Ēveles pamatskola",43.67%
"Burtnieku novads","Matīšu pamatskola",42.67%
"Burtnieku novads","Rencēnu pamatskola",55.20%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",70.29%
"Carnikavas novads","Carnikavas pamatskola",47.67%
"Cesvaines novads","Cesvaines vidusskola",69.20%
"Cesvaines novads","Cesvaines internātpamatskola",43.24%
"Cēsu novads","Cēsu 1. pamatskola",59.59%
"Cēsu novads","Cēsu 2. pamatskola",64.00%
"Cēsu novads","Cēsu pilsētas pamatskola",45.97%
"Cēsu novads","Līvu pamatskola",37.00%
"Cēsu novads","Rāmuļu pamatskola",46.48%
"Cēsu novads","Cēsu 2. vidusskola",40.19%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",48.33%
"Cēsu novads","Cēsu Valsts ģimnāzija",82.23%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",72.74%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",40.00%
"Ciblas novads","Ciblas vidusskola",59.39%
"Dagdas novads","Andrupenes pamatskola",57.09%
"Dagdas novads","Andzeļu pamatskola",60.00%
"Dagdas novads","Asūnes pamatskola",71.33%
"Dagdas novads","Dagdas vidusskola",69.64%
"Dagdas novads","Ezernieku vidusskola",78.80%
"Daugavpils novads","Kalupes pamatskola",53.33%
"Daugavpils novads","Medumu pamatskola",69.04%
"Daugavpils novads","Naujenes pamatskola",56.67%
"Daugavpils novads","Nīcgales pamatskola",72.76%
"Daugavpils novads","Skrudalienas pamatskola",43.11%
"Daugavpils novads","Biķernieku pamatskola",61.14%
"Daugavpils novads","Birznieku pamatskola",62.44%
"Daugavpils novads","Randenes pamatskola",59.47%
"Daugavpils novads","Tabores pamatskola",67.11%
"Daugavpils novads","Lāču pamatskola",59.17%
"Daugavpils novads","Silenes pamatskola",58.67%
"Daugavpils novads","Sventes vidusskola",61.04%
"Daugavpils novads","Vaboles vidusskola",59.11%
"Daugavpils novads","Zemgales vidusskola (Daugavpils novads)",57.20%
"Daugavpils novads","Salienas vidusskola",55.64%
"Daugavpils novads","Špoģu vidusskola",71.21%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",55.58%
"Daugavpils pilsēta","Daugavpils 11. pamatskola",38.83%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",74.70%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",58.54%
"Daugavpils pilsēta","Daugavpils 10. vidusskola",59.88%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",61.83%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",67.80%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",55.36%
"Daugavpils pilsēta","Daugavpils Centra vidusskola",65.63%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",68.98%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",48.73%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",46.24%
"Daugavpils pilsēta","Daugavpils 9. vidusskola",63.95%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",85.83%
"Daugavpils pilsēta","J.Pilsudska Daugavpils valsts poļu ģimnāzija",74.20%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",77.45%
"Daugavpils pilsēta","Daugavpils Celtnieku profesionālā vidusskola",40.00%
"Daugavpils pilsēta","Daugavpils Mūzikas vidusskola",62.80%
"Daugavpils pilsēta","Daugavpils Profesionālā vidusskola",30.52%
"Daugavpils pilsēta","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",58.67%
"Dobeles novads","Dobeles Kristīgā pamatskola",39.93%
"Dobeles novads","Annenieku pamatskola",58.00%
"Dobeles novads","Bikstu pamatskola",76.67%
"Dobeles novads","Gardenes pamatskola",31.00%
"Dobeles novads","Krimūnu pamatskola",41.33%
"Dobeles novads","Lejasstrazdu pamatskola",60.00%
"Dobeles novads","Mežinieku pamatskola",53.09%
"Dobeles novads","Naudītes pamatskola",38.22%
"Dobeles novads","Penkules pamatskola",62.00%
"Dobeles novads","Dobeles 1. vidusskola",39.27%
"Dobeles novads","Dobeles Valsts ģimnāzija",69.61%
"Dobeles novads","Dobeles Amatniecības un vispārizglītojošā vidusskola",48.44%
"Dundagas novads","Kolkas pamatskola",68.67%
"Dundagas novads","Dundagas vidusskola",47.75%
"Durbes novads","A. Spāģa Dunalkas pamatskola",55.17%
"Durbes novads","Ata Kronvalda Durbes vidusskola",44.00%
"Engures novads","Lapmežciema pamatskola",64.10%
"Engures novads","Smārdes pamatskola",60.80%
"Engures novads","Engures vidusskola",55.01%
"Ērgļu novads","Jāņa Zālīša Sausnējas pamatskola",76.33%
"Ērgļu novads","Ērgļu vidusskola",54.93%
"Ērgļu novads","Ērgļu Profesionālā vidusskola",44.17%
"Garkalnes novads","Garkalnes Mākslu un vispārizglītojošā vidusskola",46.67%
"Garkalnes novads","Berģu Mūzikas un mākslas pamatskola",53.93%
"Grobiņas novads","Bārtas pamatskola",44.57%
"Grobiņas novads","Gaviezes pamatskola",59.50%
"Grobiņas novads","Grobiņas pamatskola",43.06%
"Grobiņas novads","Grobiņas ģimnāzija",73.43%
"Gulbenes novads","Daukstes pamatskola",50.00%
"Gulbenes novads","Druvienas pamatskola",62.81%
"Gulbenes novads","Galgauskas pamatskola",53.20%
"Gulbenes novads","K. Valdemāra pamatskola",45.07%
"Gulbenes novads","Litenes pamatskola",66.89%
"Gulbenes novads","Rankas pamatskola",43.20%
"Gulbenes novads","Stāķu pamatskola",63.79%
"Gulbenes novads","Stāmerienas pamatskola",33.33%
"Gulbenes novads","Tirzas pamatskola",55.07%
"Gulbenes novads","Gulbenes 2. vidusskola",40.73%
"Gulbenes novads","Gulbenes vidusskola",53.33%
"Gulbenes novads","Gulbīša vidusskola",35.47%
"Gulbenes novads","Lejasciema vidusskola",35.56%
"Gulbenes novads","Lizuma vidusskola",50.06%
"Gulbenes novads","Gulbenes Vakara (maiņu) vidusskola",31.56%
"Gulbenes novads","Gulbenes novada valsts ģimnāzija",64.40%
"Gulbenes novads","Rankas Profesionālā vidusskola",19.49%
"Iecavas novads","Dzimtmisas pamatskola",51.56%
"Iecavas novads","Iecavas vidusskola",54.03%
"Iecavas novads","Iecavas internātpamatskola",33.93%
"Ikšķiles novads","Tīnūžu pamatskola",59.41%
"Ikšķiles novads","Ikšķiles vidusskola",60.48%
"Ilūkstes novads","Subates pamatskola",54.13%
"Ilūkstes novads","Eglaines pamatskola (Ilūkstes novads)",58.27%
"Ilūkstes novads","Ilūkstes 1. vidusskola",69.25%
"Ilūkstes novads","Bebrenes vidusskola",69.11%
"Ilūkstes novads","Ilūkstes Sadraudzības vidusskola",54.93%
"Inčukalna novads","Inčukalna pamatskola",63.15%
"Inčukalna novads","Vangažu vidusskola",53.41%
"Jaunjelgavas novads","Daudzeses pamatskola",48.22%
"Jaunjelgavas novads","Seces pagasta pamatskola",39.72%
"Jaunjelgavas novads","Sunākstes pamatskola",53.20%
"Jaunjelgavas novads","Jaunjelgavas vidusskola",38.27%
"Jaunpiebalgas novads","Jaunpiebalgas vidusskola",49.75%
"Jaunpils novads","Jaunpils vidusskola",50.91%
"Jelgavas novads","Platones pamatskola",45.93%
"Jelgavas novads","Aizupes pamatskola",49.24%
"Jelgavas novads","Sesavas pamatskola",49.54%
"Jelgavas novads","Svētes pamatskola",30.13%
"Jelgavas novads","Šķibes pamatskola",57.07%
"Jelgavas novads","Vilces pamatskola",42.67%
"Jelgavas novads","Zaļenieku pamatskola",43.48%
"Jelgavas novads","Kalnciema pagasta vidusskola",38.00%
"Jelgavas novads","Elejas vidusskola",57.25%
"Jelgavas novads","Kalnciema vidusskola",45.64%
"Jelgavas novads","Līvbērzes vidusskola",55.85%
"Jelgavas novads","Staļģenes vidusskola",54.29%
"Jelgavas novads","Vircavas vidusskola",38.42%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts",31.11%
"Jelgavas novads","Zaļenieku komerciālā un amatniecības vidusskola",12.67%
"Jelgavas pilsēta","Jelgavas 2. pamatskola",61.33%
"Jelgavas pilsēta","Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums",28.00%
"Jelgavas pilsēta","Jelgavas Tehnoloģiju vidusskola",46.59%
"Jelgavas pilsēta","Jelgavas 4. vidusskola",49.40%
"Jelgavas pilsēta","Jelgavas 5. vidusskola",55.05%
"Jelgavas pilsēta","Jelgavas 6. vidusskola",64.65%
"Jelgavas pilsēta","Jelgavas Vakara (maiņu) vidusskola",18.33%
"Jelgavas pilsēta","Jelgavas Spīdolas ģimnāzija",64.37%
"Jelgavas pilsēta","Jelgavas Valsts ģimnāzija",58.63%
"Jelgavas pilsēta","Jelgavas Amatu vidusskola",41.45%
"Jelgavas pilsēta","Jelgavas 1. internātpamatskola",77.56%
"Jēkabpils novads","Ābeļu pamatskola",65.33%
"Jēkabpils novads","Bērzgala pamatskola",38.33%
"Jēkabpils novads","Dignājas pamatskola",46.86%
"Jēkabpils novads","Dunavas pamatskola",54.44%
"Jēkabpils novads","Rubeņu pamatskola",61.58%
"Jēkabpils novads","Zasas vidusskola",44.67%
"Jēkabpils pilsēta","Jēkabpils 3. vidusskola",49.77%
"Jēkabpils pilsēta","Jēkabpils 2. vidusskola",61.12%
"Jēkabpils pilsēta","Jēkabpils Valsts ģimnāzija",61.09%
"Jūrmalas pilsēta","Jūrmalas Alternatīvā skola",74.58%
"Jūrmalas pilsēta","Slokas pamatskola",42.60%
"Jūrmalas pilsēta","Vaivaru pamatskola",56.74%
"Jūrmalas pilsēta","Jūrmalas pilsētas Lielupes vidusskola",49.09%
