"Reģistrācijas Nr.","IZM kods","Iestādes nosaukums","1.kl.","2.kl.","3.kl.","4.kl.","5.kl.","6.kl.","7.kl.","8.kl.","9.kl."
"4212900074","031213","Viļakas pamatskola",17,14,8,15,22,20,0,0,0
"4212901935","031214","Balvu pamatskola",84,69,92,68,75,70,5,6,10
"4219900434","031301","Balvu Valsts ģimnāzija",0,0,0,0,0,0,55,55,55
"4213900440","031305","Baltinavas vidusskola",8,6,5,12,10,11,15,11,12
"4213900436","031306","Bērzpils vidusskola",7,8,6,8,7,10,10,11,11
"4213900439","031307","Tilžas vidusskola",12,8,10,11,11,14,5,11,12
"4213900437","031308","Rekavas vidusskola",4,7,10,8,7,13,11,9,10
"4213902769","031309","Rugāju novada vidusskola",20,13,13,14,14,7,13,16,14
"4219900075","031311","Viļakas Valsts ģimnāzija",0,0,0,0,0,0,19,11,24
"4222900433","032201","Baltinavas Kristīgā internātpamatskola",0,2,3,0,4,2,8,5,5
"4231903046","033101","Balvu profesionālā un vispārizglītojošā vidusskola",0,0,0,0,0,12,21,17,19
"4511902871","041101","Bauskas sākumskola",79,76,56,63,64,52,0,0,0
"4512901315","041201","Bauskas pilsētas pamatskola",31,33,33,35,31,29,31,26,32
"4512901297","041202","Iecavas internātpamatskola",23,24,21,28,29,25,24,23,27
"4512901308","041205","Codes pamatskola",15,13,15,18,13,11,12,11,10
"4512901306","041206","Griķu pamatskola",14,18,8,11,9,13,8,9,12
"4512901311","041209","Mežgaļu pamatskola",10,10,9,8,13,10,10,5,10
"4512901310","041210","Mežotnes pamatskola",9,8,9,9,10,10,10,9,8
"4512901304","041212","Stelpes pamatskola",0,10,9,6,4,10,8,8,9
"4512901302","041214","Vecsaules pamatskola",8,15,10,11,14,22,10,13,17
"4512901305","041215","Dzimtmisas pamatskola",11,12,15,9,11,13,10,11,12
"4512901312","041217","Ozolaines pamatskola",8,8,10,11,9,11,11,8,8
"4513901295","041302","Bauskas 2. vidusskola",64,56,66,43,40,44,33,37,41
"4513901291","041303","Iecavas vidusskola",81,79,52,45,58,64,54,58,71
"4513901324","041304","Pilsrundāles vidusskola",30,32,24,21,31,25,25,21,24
"4513901289","041305","Skaistkalnes vidusskola",16,12,7,10,14,12,17,17,14
"4513901290","041306","Vecumnieku vidusskola",43,33,34,27,31,32,25,32,23
"4513901292","041307","Uzvaras vidusskola",16,15,16,11,11,21,19,13,16
"4513901293","041308","Misas vidusskola",14,11,15,17,11,11,21,16,10
"4513901010","041309","Mežotnes internātvidusskola",0,1,0,0,3,8,7,7,10
"4513901288","041310","Īslīces vidusskola",19,22,20,25,19,27,17,25,25
"4519901296","041311","Bauskas Valsts ģimnāzija",0,0,0,0,0,0,57,63,60
"4515802737","041581","Rīgas Tālmācības vidusskola (Iecavas novads)",0,0,0,0,0,0,11,20,27
"4515802999","041582","Rīgas 1. Tālmācības vidusskola (Iecavas novads)",0,0,0,0,0,0,8,10,19
"4520901298","042201","Pamūšas speciālā internātpamatskola",11,9,12,9,5,6,6,11,4
"4520901299","042202","Zālītes speciālā internātpamatskola",1,3,6,4,5,3,3,7,25
"4411900344","051103","Amatas novada Drabešu sākumskola",8,7,11,10,0,0,0,0,0
"4411901845","051104","Cēsu pilsētas Pastariņa sākumskola",49,46,29,31,33,43,0,0,0
"4411802932","051181","Cēsu Jaunā sākumskola",14,5,6,0,0,0,0,0,0
"4412900314","051201","Cēsu 1. pamatskola",48,44,53,45,33,24,34,35,33
"4412900331","051202","Cēsu 2. pamatskola",47,37,53,44,40,44,29,30,28
"4412900317","051204","Drustu pamatskola",10,8,9,7,7,15,6,9,3
"4412900320","051208","Līvu pamatskola",8,8,2,5,10,8,11,12,12
