"Novads","Skola","Kopvērtējums"
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",61.10%
"Aglonas novads","Šķeltovas pamatskola",70.78%
"Aglonas novads","Aglonas vidusskola",67.35%
"Aglonas novads","Priežmalas pamatskola",62.25%
"Aglonas novads","Jaunaglonas arodvidusskola",54.22%
"Aglonas novads","Aglonas internātvidusskola",44.23%
"Aizkraukles novads","Aizkraukles 1. vidusskola",54.79%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",53.53%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",52.70%
"Aizputes novads","Aizputes vidusskola",52.76%
"Aizputes novads","Aizputes pagasta pamatskola",48.59%
"Aizputes novads","Apriķu pamatskola",54.04%
"Aizputes novads","Dzērves pamatskola",62.59%
"Aizputes novads","Kalvenes pamatskola",64.73%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",58.92%
"Aizputes novads","Cīravas arodvidusskola",46.75%
"Aknīstes novads","Aknīstes vidusskola",61.59%
"Aknīstes novads","Asares pamatskola",62.52%
"Aknīstes novads","Gārsenes pamatskola",65.72%
"Alojas novads","Staiceles vidusskola",47.36%
"Alojas novads","Alojas Ausekļa vidusskola",56.10%
"Alojas novads","Ozolmuižas pamatskola",41.57%
"Alojas novads","Puikules pamatskola",61.62%
"Alsungas novads","Alsungas vidusskola",51.74%
"Alūksnes novads","Alūksnes vidusskola",39.13%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",46.12%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",70.42%
"Alūksnes novads","Bejas pamatskola",66.67%
"Alūksnes novads","Ilzenes pamatskola",67.32%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",48.55%
"Alūksnes novads","Jaunlaicenes pamatskola",41.23%
"Alūksnes novads","Liepnas internātpamatskola",42.77%
"Alūksnes novads","Malienas pamatskola",50.47%
"Alūksnes novads","Mālupes pamatskola",51.81%
"Alūksnes novads","Mārkalnes pamatskola",57.35%
"Alūksnes novads","Strautiņu pamatskola",66.27%
"Alūksnes novads","Ziemeru pamatskola",50.30%
"Alūksnes novads","Pededzes pamatskola",67.47%
"Alūksnes novads","Liepnas vidusskola",75.25%
"Alūksnes novads","Alsviķu Profesionālā skola",50.20%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",83.49%
"Apes novads","Sikšņu pamatskola",59.76%
"Apes novads","Trapenes pamatskola",56.17%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",60.84%
"Apes novads","Gaujienas speciālā internātpamatskola",56.02%
"Auces novads","Auces vidusskola",48.99%
"Auces novads","Bēnes vidusskola",49.57%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",55.34%
"Ādažu novads","Ādažu vidusskola",62.67%
"Babītes novads","Babītes vidusskola",64.02%
"Baldones novads","Baldones mūzikas pamatskola",61.08%
"Baldones novads","Baldones vidusskola",67.85%
"Baltinavas novads","Baltinavas vidusskola",75.65%
"Balvu novads","Balvu 2.pamatskola",67.11%
"Balvu novads","Balvu Amatniecības vidusskola",59.21%
"Balvu novads","Balvu Vakara (maiņu) vidusskola",63.05%
"Balvu novads","Balvu Valsts ģimnāzija",68.29%
"Balvu novads","Briežuciema pamatskola",57.28%
"Balvu novads","Stacijas pamatskola",60.88%
"Balvu novads","Tilžas internātpamatskola",56.63%
"Balvu novads","Bērzpils vidusskola",58.23%
"Balvu novads","Tilžas vidusskola",78.58%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",64.04%
"Bauskas novads","Bauskas pilsētas pamatskola",66.40%
"Bauskas novads","Bauskas 1. vidusskola",62.43%
"Bauskas novads","Bauskas 2. vidusskola",59.71%
"Bauskas novads","Griķu pamatskola",78.18%
"Bauskas novads","Mežgaļu pamatskola",60.67%
"Bauskas novads","Mežotnes pamatskola",57.97%
"Bauskas novads","Ozolaines pamatskola",55.16%
"Bauskas novads","Vecsaules pamatskola",63.40%
"Bauskas novads","Īslīces vidusskola",50.46%
"Bauskas novads","Uzvaras vidusskola",59.78%
"Bauskas novads","Mežotnes internātvidusskola",44.23%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",51.11%
"Beverīnas novads","Trikātas pamatskola",59.64%
"Brocēnu novads","Brocēnu vidusskola",47.22%
"Brocēnu novads","Blīdenes pamatskola",59.71%
"Brocēnu novads","Gaiķu pamatskola",52.88%
"Brocēnu novads","Remtes pamatskola",53.85%
"Burtnieku novads","Ēveles pamatskola",57.53%
"Burtnieku novads","Matīšu pamatskola",56.91%
"Burtnieku novads","Rencēnu pamatskola",40.21%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",58.60%
"Carnikavas novads","Carnikavas pamatskola",59.17%
"Cesvaines novads","Cesvaines vidusskola",57.36%
