"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas internātvidusskola",74.62%
"Aizkraukles novads","Aizkraukles 1. vidusskola",73.23%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",60.44%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",71.36%
"Aizputes novads","Aizputes vidusskola",83.84%
"Aknīstes novads","Aknīstes vidusskola",74.12%
"Alojas novads","Alojas Ausekļa vidusskola",65.28%
"Alojas novads","Staiceles vidusskola",45.71%
"Alsungas novads","Alsungas vidusskola",73.01%
"Alūksnes novads","Alūksnes novada vidusskola",54.96%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",69.65%
"Amatas novads","Nītaures vidusskola",90.15%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",64.88%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",56.17%
"Auces novads","Auces vidusskola",81.06%
"Auces novads","Bēnes vidusskola",63.94%
"Ādažu novads","Ādažu vidusskola",70.72%
"Babītes novads","Babītes vidusskola",65.72%
"Baldones novads","Baldones vidusskola",83.33%
"Baltinavas novads","Baltinavas vidusskola",83.86%
"Balvu novads","Balvu Amatniecības vidusskola",67.00%
"Balvu novads","Bērzpils vidusskola",68.94%
"Balvu novads","Tilžas vidusskola",78.79%
"Balvu novads","Balvu Valsts ģimnāzija",84.09%
"Bauskas novads","Bauskas Valsts ģimnāzija",69.52%
"Bauskas novads","Īslīces vidusskola",68.62%
"Bauskas novads","Bauskas 2. vidusskola",60.96%
"Bauskas novads","Mežotnes internātvidusskola",59.55%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",74.24%
"Cesvaines novads","Cesvaines vidusskola",65.81%
"Cēsu novads","Cēsu 2. vidusskola",57.83%
"Cēsu novads","Cēsu Valsts ģimnāzija",75.20%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",72.83%
"Dagdas novads","Ezernieku vidusskola",70.56%
"Dagdas novads","Dagdas vidusskola",94.70%
"Daugavpils novads","Vaboles vidusskola",89.65%
