"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas vidusskola",68.18%
"Aizkraukles novads","Aizkraukles 1. vidusskola",71.97%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",53.79%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",74.01%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts",66.67%
"Aknīstes novads","Aknīstes vidusskola",56.97%
"Alojas novads","Alojas Ausekļa vidusskola",59.09%
"Alojas novads","Staiceles vidusskola",54.76%
"Alsungas novads","Alsungas vidusskola",67.05%
"Alūksnes novads","Alūksnes novada vidusskola",42.00%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",70.99%
"Amatas novads","Nītaures vidusskola",69.59%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",73.96%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",58.33%
"Auces novads","Auces vidusskola",70.77%
"Auces novads","Bēnes vidusskola",71.78%
"Ādažu novads","Ādažu vidusskola",72.44%
"Baldones novads","Baldones vidusskola",67.91%
"Baltinavas novads","Baltinavas vidusskola",62.40%
"Balvu novads","Balvu Amatniecības vidusskola",66.25%
"Balvu novads","Tilžas vidusskola",71.40%
"Balvu novads","Balvu Valsts ģimnāzija",78.14%
"Bauskas novads","Īslīces vidusskola",75.57%
"Bauskas novads","Bauskas 2. vidusskola",68.72%
"Bauskas novads","Bauskas Valsts ģimnāzija",68.00%
"Brocēnu novads","Brocēnu vidusskola",81.63%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",76.52%
"Cesvaines novads","Cesvaines vidusskola",74.56%
"Cēsu novads","Cēsu 2. vidusskola",62.12%
"Cēsu novads","Cēsu Valsts ģimnāzija",72.14%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",67.05%
"Dagdas novads","Ezernieku vidusskola",82.42%
"Daugavpils novads","Vaboles vidusskola",86.87%
