"Novads","Skola","Kopvērtējums"
"Daugavpils novads","Zemgales vidusskola (Daugavpils nov.)",81.57%
"Daugavpils novads","Sventes vidusskola",79.55%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",71.59%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",66.19%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",84.83%
"Daugavpils pilsēta","Daugavpils Centra vidusskola",69.24%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",80.44%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",73.14%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",46.97%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",76.06%
"Daugavpils pilsēta","J.Pilsudska Daugavpils valsts poļu ģimnāzija",77.46%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",74.78%
"Dobeles novads","Dobeles 1. vidusskola",58.91%
"Dobeles novads","Dobeles Valsts ģimnāzija",80.12%
"Dobeles novads","Dobeles Amatniecības un vispārizglītojošā vidusskola",56.40%
"Durbes novads","Ata Kronvalda Durbes vidusskola",66.67%
"Engures novads","Engures vidusskola",67.77%
"Ērgļu novads","Ērgļu vidusskola",62.80%
"Garkalnes novads","Garkalnes vidusskola",50.51%
"Grobiņas novads","Grobiņas ģimnāzija",73.57%
"Gulbenes novads","Gulbenes 2. vidusskola",68.88%
"Gulbenes novads","Gulbenes vidusskola",61.11%
"Gulbenes novads","Lizuma vidusskola",78.79%
"Gulbenes novads","Gulbenes Vakara (maiņu) vidusskola",46.06%
"Gulbenes novads","Gulbenes novada valsts ģimnāzija",84.85%
"Iecavas novads","Iecavas vidusskola",71.63%
"Ikšķiles novads","Ikšķiles vidusskola",63.74%
"Ilūkstes novads","Ilūkstes 1. vidusskola",72.89%
"Ilūkstes novads","Bebrenes vidusskola",82.83%
"Ilūkstes novads","Ilūkstes Sadraudzības vidusskola",66.92%
"Inčukalna novads","Vangažu vidusskola",60.98%
"Jaunjelgavas novads","Jaunjelgavas vidusskola",66.86%
"Jaunpiebalgas novads","Jaunpiebalgas vidusskola",50.76%
"Jaunpils novads","Jaunpils vidusskola",79.65%
"Jelgavas novads","Elejas vidusskola",71.21%
"Jelgavas novads","Kalnciema vidusskola",75.08%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts",76.52%
"Jelgavas pilsēta","Jelgavas 4. vidusskola",69.26%
"Jelgavas pilsēta","Jelgavas 6. vidusskola",70.33%
"Jelgavas pilsēta","Jelgavas 1. ģimnāzija",63.81%
"Jelgavas pilsēta","Jelgavas Spīdolas ģimnāzija",88.18%
"Jelgavas pilsēta","Jelgavas Valsts ģimnāzija",76.85%
"Jēkabpils novads","Zasas vidusskola",78.64%
"Jēkabpils pilsēta","Jēkabpils 3. vidusskola",53.94%
"Jēkabpils pilsēta","Jēkabpils Valsts ģimnāzija",67.52%
"Jūrmalas pilsēta","Pumpuru vidusskola",54.55%
"Jūrmalas pilsēta","Jūrmalas pilsētas Kauguru vidusskola",64.39%
"Jūrmalas pilsēta","Jūrmalas pilsētas Jaundubultu vidusskola",66.48%
"Jūrmalas pilsēta","Jūrmalas vakara vidusskola",35.61%
"Jūrmalas pilsēta","Jūrmalas Valsts ģimnāzija",77.16%
"Kandavas novads","Kandavas Kārļa Mīlenbaha vidusskola",77.19%
"Kārsavas novads","Kārsavas vidusskola",72.42%
"Krāslavas novads","Krāslavas Varavīksnes vidusskola",70.00%
"Krāslavas novads","Krāslavas Valsts ģimnāzija",68.28%
"Krimuldas novads","Krimuldas vidusskola",64.68%
"Krustpils novads","Brāļu Skrindu Atašienes vidusskola",68.18%
"Kuldīgas novads","Kuldīgas Centra vidusskola",71.54%
"Kuldīgas novads","Kuldīgas Mākslas un humanitāro zinību vidusskola",63.11%
"Kuldīgas novads","V. Plūdoņa Kuldīgas ģimnāzija",71.85%
"Ķeguma novads","Ķeguma komercnovirziena vidusskola",84.55%
"Lielvārdes novads","Edgara Kauliņa Lielvārdes vidusskola",75.98%
"Lielvārdes novads","Jumpravas vidusskola",55.85%
"Liepājas pilsēta","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola",68.88%
"Liepājas pilsēta","J. Čakstes Liepājas pilsētas 10. vidusskola",65.15%
"Liepājas pilsēta","Liepājas 15. vidusskola",72.63%
"Liepājas pilsēta","Liepājas Raiņa 6. vidusskola",77.42%
"Liepājas pilsēta","Liepājas 7. vidusskola",69.76%
"Liepājas pilsēta","Liepājas A. Puškina 2. vidusskola",77.76%
"Liepājas pilsēta","Liepājas pilsētas 12. vidusskola",83.33%
"Liepājas pilsēta","Liepājas 8. vidusskola",71.01%
"Liepājas pilsēta","Liepājas vakara (maiņu) vidusskola",45.71%
"Liepājas pilsēta","Liepājas Valsts 1. ģimnāzija",73.54%
"Liepājas pilsēta","Liepājas mākslas vidusskola",63.64%
"Limbažu novads","Limbažu 3. vidusskola",65.98%
"Līvānu novads","Līvānu 1. vidusskola",66.86%
"Līvānu novads","Rudzātu vidusskola",84.85%
"Lubānas novads","Lubānas vidusskola",67.98%
"Ludzas novads","Ludzas pilsētas ģimnāzija",75.08%
"Madonas novads","Madonas pilsētas 1. vidusskola",70.17%
"Madonas novads","Andreja Eglīša Ļaudonas vidusskola",64.30%
"Madonas novads","Madonas pilsētas 2. vidusskola",54.08%
"Madonas novads","Madonas Vakara un neklātienes vidusskola",53.79%
"Madonas novads","Madonas Valsts ģimnāzija",79.27%
"Mazsalacas novads","Mazsalacas vidusskola",70.83%
"Mālpils novads","Mālpils vidusskola",74.81%
"Mārupes novads","Mārupes vidusskola",71.31%
"Neretas novads","Neretas Jāņa Jaunsudrabiņa vidusskola",73.33%
"Nīcas novads","Nīcas vidusskola",62.50%
"Ogres novads","Ogres 1. vidusskola",75.49%
"Ogres novads","Madlienas vidusskola",68.41%
"Ogres novads","Suntažu vidusskola",78.79%
"Ogres novads","Ogres Valsts ģimnāzija",72.14%
"Olaines novads","Olaines 2. vidusskola",71.21%
"Olaines novads","Olaines 1. vidusskola",74.06%
"Ozolnieku novads","Ozolnieku vidusskola",68.18%
"Pārgaujas novads","Stalbes vidusskola",60.10%
"Pāvilostas novads","Pāvilostas vidusskola",75.67%
"Pļaviņu novads","Pļaviņu novada ģimnāzija",72.33%
"Preiļu novads","Preiļu 2. vidusskola",61.83%
"Preiļu novads","Preiļu novada Vakara (maiņu) un neklātienes vidusskola",48.48%
"Preiļu novads","Preiļu Valsts ģimnāzija",74.88%
"Priekules novads","Priekules vidusskola",62.27%
"Priekuļu novads","Priekuļu vidusskola",70.52%
"Rēzeknes novads","Dricānu vidusskola",57.58%
"Rēzeknes novads","Lūcijas Rancānes Makašānu Amatu vidusskola",64.02%
"Rēzeknes novads","Maltas 1. vidusskola",60.72%
"Rēzeknes novads","Kaunatas vidusskola",68.07%
"Rēzeknes novads","Maltas 2. vidusskola",67.68%
"Rēzeknes pilsēta","Rēzeknes 1. vidusskola",78.20%
"Rēzeknes pilsēta","Rēzeknes Katoļu vidusskola",79.55%
"Rēzeknes pilsēta","Rēzeknes 2. vidusskola",95.20%
"Rēzeknes pilsēta","Rēzeknes 6. vidusskola",84.91%
"Rēzeknes pilsēta","Rēzeknes 3. vidusskola",57.58%
"Rēzeknes pilsēta","Rēzeknes vakara vidusskola",55.07%
"Rīgas pilsēta (Centra raj.)","Rīgas Centra humanitārā vidusskola",81.06%
"Rīgas pilsēta (Centra raj.)","Rīgas Natālijas Draudziņas vidusskola ",70.38%
"Rīgas pilsēta (Centra raj.)","Rīgas 22. vidusskola",61.36%
"Rīgas pilsēta (Centra raj.)","Rīgas 40. vidusskola",71.46%
"Rīgas pilsēta (Centra raj.)","Rīgas Raiņa 8. vakara (maiņu) vidusskola",49.64%
"Rīgas pilsēta (Centra raj.)","Privātā Rīgas Tehnolingvistiskā ģimnāzija",78.41%
"Rīgas pilsēta (Centra raj.)","Rīgas Valsts 1. ģimnāzija",85.70%
"Rīgas pilsēta (Centra raj.)","Rīgas Valsts 3. ģimnāzija",77.31%
"Rīgas pilsēta (Kurzemes raj.)","Privātā vidusskola ""Patnis""",62.88%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 41. vidusskola",73.76%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 69. vidusskola",71.85%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Imantas vidusskola",59.20%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 33. vidusskola",74.28%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 34. vidusskola",69.32%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 54. vidusskola",58.90%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 68. vidusskola",71.46%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 96. vidusskola",75.97%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Daugavgrīvas vidusskola",52.44%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 71. vidusskola",74.93%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Ostvalda vidusskola",86.55%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Valsts vācu ģimnāzija",67.14%
"Rīgas pilsēta (Latgales priekšp.)","Humanitārā privātģimnāzija",76.52%
"Rīgas pilsēta (Latgales priekšp.)","Kārļa Videnieka Rīgas 77. vidusskola",67.68%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 25. vidusskola",69.40%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 6. vidusskola",87.73%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 93. vidusskola",67.05%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Kristīgā vidusskola",71.21%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Lietuviešu vidusskola",77.42%
"Rīgas pilsēta (Latgales priekšp.)","Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",65.15%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 65. vidusskola",83.04%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 72. vidusskola",73.96%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 75. vidusskola",60.61%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 86. vidusskola",95.45%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 88. vidusskola",62.45%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Ķengaraga vidusskola",71.35%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 1. vidusskola",53.37%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 15. vidusskola",58.84%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 92. vidusskola",80.49%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Tālmācības vidusskola",58.50%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas vakara ģimnāzija",76.46%
"Rīgas pilsēta (Latgales priekšp.)","Tālmācības vidusskola ""Rīgas Komercskola""",94.70%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas pilsētas Pļavnieku ģimnāzija",60.15%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 45. vidusskola",80.68%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 49. vidusskola",80.93%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 64. vidusskola",75.67%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 84. vidusskola",68.76%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 85. vidusskola",74.44%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Juglas vidusskola",76.28%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Teikas vidusskola",71.77%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 60. vidusskola",56.82%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 63. vidusskola",72.47%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 74. vidusskola",85.23%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Herdera vidusskola",67.65%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Purvciema vidusskola",83.04%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 21. vidusskola",75.38%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 80. vidusskola",78.64%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 9. vakara (maiņu) vidusskola",66.89%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Klasiskā ģimnāzija",72.73%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Tirdzniecības tehnikums",63.54%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Stila un modes profesionālā vidusskola",54.75%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 47. vidusskola",64.30%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 94. vidusskola",76.94%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 61. vidusskola",78.79%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 95. vidusskola",70.20%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 14. vakara (maiņu) vidusskola",63.41%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas Angļu ģimnāzija",81.06%
"Rīgas pilsēta (Zemgales priekšp.)","Ziemeļvalstu ģimnāzija",66.16%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas Zolitūdes ģimnāzija",68.94%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Jāņa Poruka vidusskola",74.70%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Kultūru vidusskola",73.06%
"Rīgas pilsēta (Ziemeļu raj.)","Puškina licejs",83.77%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 10. vidusskola",72.73%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Rīnūžu vidusskola",74.09%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 13. vidusskola",75.00%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 18. vakara (maiņu) vidusskola",72.73%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Valsts 2. ģimnāzija",74.31%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 66. speciālā vidusskola",61.93%
"Rojas novads","Mērsraga vidusskola",65.53%
"Rojas novads","Rojas vidusskola",84.85%
"Rugāju novads","Rugāju novada vidusskola",59.63%
"Salacgrīvas novads","Salacgrīvas vidusskola",65.07%
"Salas novads","Salas vidusskola",66.54%
"Salaspils novads","Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",63.45%
"Salaspils novads","Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",75.00%
"Saldus novads","Saldus 2. vidusskola",76.61%
"Saldus novads","Saldus 1.vidusskola",81.56%
"Saldus novads","Saldus novada pašvaldības Druvas vidusskola",73.25%
"Saldus novads","Saldus novada pašvaldības Kalnu vidusskola",47.35%
"Saulkrastu novads","Zvejniekciema vidusskola",75.57%
"Sējas novads","Murjāņu sporta ģimnāzija",46.59%
"Siguldas novads","Siguldas pilsētas vidusskola",60.80%
"Siguldas novads","Siguldas Valsts ģimnāzija",78.49%
"Skrīveru novads","Andreja Upīša Skrīveru vidusskola",76.33%
"Skrundas novads","Skrundas vidusskola",76.52%
"Smiltenes novads","Smiltenes Centra vidusskola",70.39%
"Smiltenes novads","Smiltenes ģimnāzija",77.84%
"Talsu novads","Talsu 2. vidusskola",67.46%
"Talsu novads","Talsu Kristīgā vidusskola",82.20%
"Talsu novads","Valdemārpils vidusskola",75.89%
"Talsu novads","Talsu novada Vakara un neklātienes vidusskola",51.62%
"Talsu novads","Talsu Valsts ģimnāzija",73.59%
"Tukuma novads","Tukuma 2. vidusskola",67.54%
"Tukuma novads","Tumes vidusskola",61.36%
"Tukuma novads","Zemgales vidusskola (Tukuma nov.)",70.15%
"Tukuma novads","Tukuma Vakara un neklātienes vidusskola",68.18%
"Tukuma novads","Tukuma Raiņa ģimnāzija",77.84%
"Vaiņodes novads","Vaiņodes vidusskola",82.15%
"Valkas novads","Valkas ģimnāzija",68.25%
"Valmieras pilsēta","Valmieras 5. vidusskola",74.09%
"Valmieras pilsēta","Valmieras Viestura vidusskola",72.54%
"Valmieras pilsēta","Valmieras 2. vidusskola",80.30%
"Valmieras pilsēta","Valmieras 2.vidusskolas filiāle",62.88%
"Valmieras pilsēta","Valmieras Pārgaujas ģimnāzija",79.29%
"Valmieras pilsēta","Valmieras Valsts ģimnāzija",73.58%
"Valmieras pilsēta","Valmieras Mākslas vidusskola",76.09%
"Varakļānu novads","Varakļānu vidusskola",67.64%
"Vārkavas novads","Vārkavas vidusskola",64.58%
"Vecpiebalgas novads","Vecpiebalgas vidusskola",62.35%
"Vecumnieku novads","Misas vidusskola",71.09%
"Vecumnieku novads","Skaistkalnes vidusskola",57.77%
"Ventspils novads","Piltenes vidusskola",69.70%
"Ventspils pilsēta","Ventspils 4. vidusskola",69.97%
"Ventspils pilsēta","Ventspils 5. vidusskola",84.47%
"Ventspils pilsēta","Ventspils 2. vidusskola",70.23%
"Ventspils pilsēta","Ventspils 6. vidusskola",76.01%
"Ventspils pilsēta","Ventspils vakara vidusskola",55.71%
"Ventspils pilsēta","Ventspils 1. ģimnāzija",74.71%
"Ventspils pilsēta","Ventspils Tehnikums",65.79%
"Viesītes novads","Viesītes vidusskola",62.09%
"Viļakas novads","Rekavas vidusskola",81.44%
"Viļakas novads","Viļakas Valsts ģimnāzija",85.61%
"Viļānu novads","Viļānu vidusskola",64.77%
"Zilupes novads","Zilupes vidusskola",61.99%
