"Novads","Skola","Kopvērtējums"
"Aizputes novads","Aizputes vidusskola",44.28%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",25.67%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",49.73%
"Aknīstes novads","Aknīstes vidusskola",48.77%
"Aknīstes novads","Asares pamatskola",44.25%
"Aknīstes novads","Gārsenes pamatskola",46.18%
"Alojas novads","Staiceles vidusskola",55.00%
"Alojas novads","Alojas Ausekļa vidusskola",48.14%
"Alojas novads","Ozolmuižas pamatskola",53.75%
"Alojas novads","Puikules pamatskola",49.71%
"Alsungas novads","Alsungas vidusskola",45.27%
"Alūksnes novads","Alūksnes vidusskola",35.00%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",50.09%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",65.44%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",63.80%
"Alūksnes novads","Bejas pamatskola",47.70%
"Alūksnes novads","Ilzenes pamatskola",58.60%
"Alūksnes novads","Jaunlaicenes pamatskola",74.50%
"Alūksnes novads","Malienas pamatskola",55.78%
"Alūksnes novads","Mālupes pamatskola",46.00%
"Alūksnes novads","Mārkalnes pamatskola",50.50%
"Alūksnes novads","Strautiņu pamatskola",61.50%
"Alūksnes novads","Ziemeru pamatskola",54.75%
"Alūksnes novads","Pededzes pamatskola",63.23%
"Alūksnes novads","Liepnas vidusskola",47.33%
"Alūksnes novads","Liepnas internātpamatskola",52.60%
"Amatas novads","Amatas pamatskola",52.29%
"Amatas novads","Sērmūkšu pamatskola",65.78%
"Amatas novads","Skujenes pamatskola",37.13%
"Amatas novads","Zaubes pamatskola",43.29%
"Amatas novads","Nītaures vidusskola",58.25%
"Amatas novads","Drabešu internātpamatskola",29.70%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",40.46%
"Apes novads","Sikšņu pamatskola",39.20%
"Apes novads","Trapenes pamatskola",63.00%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",42.33%
"Apes novads","Gaujienas speciālā internātpamatskola",45.43%
"Auces novads","Auces vidusskola",50.71%
"Auces novads","Bēnes vidusskola",38.61%
"Ādažu novads","Ādažu vidusskola",64.01%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",63.29%
"Babītes novads","Babītes vidusskola",57.15%
"Baldones novads","Baldones Mūzikas pamatskola",48.33%
"Baldones novads","Baldones vidusskola",44.81%
"Baltinavas novads","Baltinavas vidusskola",66.77%
"Balvu novads","Balvu pamatskola",65.33%
"Balvu novads","Balvu Amatniecības vidusskola",53.72%
"Balvu novads","Balvu Valsts ģimnāzija",66.49%
"Balvu novads","Briežuciema pamatskola",58.70%
"Balvu novads","Bērzpils vidusskolas filiāle",50.67%
"Balvu novads","Mežvidu pamatskola (Viļakas)",37.00%
"Balvu novads","Stacijas pamatskola",62.86%
"Balvu novads","Tilžas internātpamatskola",41.29%
"Balvu novads","Bērzpils vidusskola",44.65%
"Balvu novads","Tilžas vidusskola",63.75%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",25.07%
"Bauskas novads","Bauskas pilsētas pamatskola",63.60%
"Bauskas novads","Bauskas 1. vidusskola",65.71%
"Bauskas novads","Bauskas 2. vidusskolaBauskas 2. vidusskola",59.80%
"Bauskas novads","Codes pamatskola",50.82%
"Bauskas novads","Griķu pamatskola",54.00%
"Bauskas novads","Mežgaļu pamatskola",59.83%
"Bauskas novads","Ozolaines pamatskola",40.00%
"Bauskas novads","Vecsaules pamatskola",63.94%
"Bauskas novads","Īslīces vidusskola",47.00%
"Bauskas novads","Uzvaras vidusskola",71.27%
"Bauskas novads","Mežotnes internātvidusskola",30.56%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",66.69%
"Beverīnas novads","Trikātas pamatskola",44.00%
"Burtnieku novads","Ēveles pamatskola",44.57%
"Burtnieku novads","Matīšu pamatskola",49.44%
"Burtnieku novads","Rencēnu pamatskola",54.25%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",59.38%
"Cesvaines novads","Cesvaines vidusskola",61.51%
"Cesvaines novads","Cesvaines internātpamatskola",38.27%
"Cēsu novads","Cēsu 1. pamatskola",58.42%
"Cēsu novads","Cēsu 2. pamatskola",54.54%
"Cēsu novads","Cēsu pilsētas pamatskola",53.23%
"Cēsu novads","Cēsu 2. vidusskola",61.17%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",41.57%
"Cēsu novads","Cēsu Valsts ģimnāzija",74.24%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",70.97%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",76.86%
"Cēsu novads","Līvu pamatskola",42.88%
"Ciblas novads","Cirmas pamatskola",42.80%
"Ciblas novads","Pušmucovas pamatskola",43.63%
"Ciblas novads","Ciblas vidusskola",54.54%
"Dagdas novads","Andrupenes pamatskola",66.67%
"Dagdas novads","Andzeļu pamatskola",58.67%
"Dagdas novads","Asūnes pamatskola",57.90%
"Dagdas novads","Šķaunes pamatskola",68.60%
"Dagdas novads","Ezernieku vidusskola",64.92%
"Daugavpils novads","Naujenes pamatskola",51.71%
"Daugavpils novads","Biķernieku pamatskola",60.13%
"Daugavpils novads","Randenes pamatskola",55.25%
"Daugavpils novads","Silenes pamatskola",52.78%
"Daugavpils novads","Tabores pamatskola",51.67%
"Daugavpils novads","Kalupes pamatskola",55.92%
"Daugavpils novads","Lāču pamatskola",52.42%
"Daugavpils novads","Špoģu vidusskola",62.32%
"Daugavpils novads","Vaboles vidusskola",63.90%
"Daugavpils novads","Salienas vidusskola",74.00%
"Daugavpils novads","Sventes vidusskola",65.13%
