"Novads","Skola","Kopvērtējums"
"Aglonas novads","Šķeltovas pamatskola",64.09%
"Aglonas novads","Aglonas vidusskola",72.59%
"Aglonas novads","Priežmalas pamatskola",49.39%
"Aglonas novads","Jaunaglonas arodvidusskola",45.45%
"Aglonas novads","Aglonas internātvidusskola",60.78%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",46.49%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",65.40%
"Aizputes novads","Aizputes vidusskola",62.62%
"Aizputes novads","Aizputes pagasta pamatskola",59.32%
"Aizputes novads","Apriķu pamatskola",57.20%
"Aizputes novads","Dzērves pamatskola",71.21%
"Aizputes novads","Kalvenes pamatskola",77.69%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",68.66%
"Aizputes novads","Cīravas arodvidusskola",61.88%
"Aknīstes novads","Aknīstes vidusskola",79.36%
"Aknīstes novads","Asares pamatskola",66.67%
"Aknīstes novads","Gārsenes pamatskola",77.60%
"Alojas novads","Staiceles vidusskola",56.12%
"Alojas novads","Alojas Ausekļa vidusskola",71.19%
"Alojas novads","Ozolmuižas pamatskola",53.64%
"Alojas novads","Puikules pamatskola",53.90%
"Alsungas novads","Alsungas vidusskola",66.06%
"Alūksnes novads","Alūksnes vidusskola",57.00%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",53.89%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",70.34%
"Alūksnes novads","Bejas pamatskola",63.56%
"Alūksnes novads","Ilzenes pamatskola",77.50%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",65.36%
"Alūksnes novads","Jaunlaicenes pamatskola",53.43%
"Alūksnes novads","Liepnas internātpamatskola",56.06%
"Alūksnes novads","Malienas pamatskola",68.79%
"Alūksnes novads","Mālupes pamatskola",66.20%
"Alūksnes novads","Mārkalnes pamatskola",56.18%
"Alūksnes novads","Strautiņu pamatskola",62.73%
"Alūksnes novads","Ziemeru pamatskola",59.94%
"Alūksnes novads","Pededzes pamatskola",63.51%
"Alūksnes novads","Liepnas vidusskola",70.83%
"Alūksnes novads","Alsviķu Profesionālā skola",63.64%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",70.59%
"Apes novads","Sikšņu pamatskola",60.73%
"Apes novads","Trapenes pamatskola",57.27%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",62.17%
"Apes novads","Gaujienas speciālā internātpamatskola",76.82%
"Auces novads","Auces vidusskola",58.85%
"Auces novads","Bēnes vidusskola",64.99%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",68.61%
"Ādažu novads","Ādažu vidusskola",67.92%
"Babītes novads","Babītes vidusskola",69.55%
"Baldones novads","Baldones mūzikas pamatskola",70.73%
"Baldones novads","Baldones vidusskola",69.19%
"Baltinavas novads","Baltinavas vidusskola",71.30%
"Balvu novads","Balvu Amatniecības vidusskola",64.36%
"Balvu novads","Balvu Vakara (maiņu) vidusskola",60.20%
"Balvu novads","Balvu Valsts ģimnāzija",76.96%
"Balvu novads","Briežuciema pamatskola",75.04%
"Balvu novads","Stacijas pamatskola",62.09%
"Balvu novads","Tilžas internātpamatskola",57.85%
"Balvu novads","Bērzpils vidusskola",64.85%
"Balvu novads","Tilžas vidusskola",70.32%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",67.97%
"Bauskas novads","Bauskas pilsētas pamatskola",79.37%
"Bauskas novads","Bauskas 1. vidusskola",74.78%
"Bauskas novads","Bauskas 2. vidusskola",73.35%
"Bauskas novads","Codes pamatskola",62.56%
"Bauskas novads","Griķu pamatskola",73.13%
"Bauskas novads","Mežgaļu pamatskola",72.86%
"Bauskas novads","Mežotnes pamatskola",59.90%
"Bauskas novads","Ozolaines pamatskola",69.16%
"Bauskas novads","Vecsaules pamatskola",66.65%
"Bauskas novads","Īslīces vidusskola",61.07%
