"Novads","Skola","Kopvērtējums"
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",53.71%
"Aglonas novads","Šķeltovas pamatskola",48.00%
"Aglonas novads","Aglonas vidusskola",66.67%
"Aglonas novads","Priežmalas pamatskola",44.44%
"Aglonas novads","Jaunaglonas arodvidusskola",42.00%
"Aglonas novads","Aglonas internātvidusskola",49.52%
"Aizkraukles novads","Aizkraukles 1. vidusskola",36.12%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",21.33%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",50.47%
"Aizputes novads","Aizputes vidusskola",44.85%
"Aizputes novads","Aizputes pagasta pamatskola",30.33%
"Aizputes novads","Apriķu pamatskola",35.43%
"Aizputes novads","Dzērves pamatskola",46.98%
"Aizputes novads","Kalvenes pamatskola",51.27%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",54.98%
"Aizputes novads","Cīravas arodvidusskola",46.42%
"Aknīstes novads","Aknīstes vidusskola",65.49%
"Aknīstes novads","Asares pamatskola",50.81%
"Aknīstes novads","Gārsenes pamatskola",72.97%
"Alojas novads","Staiceles vidusskola",36.08%
"Alojas novads","Alojas Ausekļa vidusskola",39.44%
"Alojas novads","Ozolmuižas pamatskola",34.00%
"Alojas novads","Puikules pamatskola",58.86%
"Alsungas novads","Alsungas vidusskola",34.44%
"Alūksnes novads","Alūksnes vidusskola",23.25%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",28.22%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",55.02%
"Alūksnes novads","Bejas pamatskola",52.11%
"Alūksnes novads","Ilzenes pamatskola",61.00%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",53.87%
"Alūksnes novads","Jaunlaicenes pamatskola",38.07%
"Alūksnes novads","Liepnas internātpamatskola",39.33%
"Alūksnes novads","Malienas pamatskola",53.33%
"Alūksnes novads","Mālupes pamatskola",37.33%
"Alūksnes novads","Mārkalnes pamatskola",48.80%
"Alūksnes novads","Strautiņu pamatskola",58.00%
"Alūksnes novads","Ziemeru pamatskola",37.42%
"Alūksnes novads","Pededzes pamatskola",59.05%
"Alūksnes novads","Liepnas vidusskola",53.45%
"Alūksnes novads","Alsviķu Profesionālā skola",32.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",45.41%
"Apes novads","Sikšņu pamatskola",39.20%
"Apes novads","Trapenes pamatskola",46.17%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",31.19%
"Apes novads","Gaujienas speciālā internātpamatskola",62.00%
"Auces novads","Auces vidusskola",47.44%
"Auces novads","Bēnes vidusskola",43.19%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",53.96%
"Ādažu novads","Ādažu vidusskola",59.87%
"Babītes novads","Babītes vidusskola",39.74%
"Baldones novads","Baldones mūzikas pamatskola",54.93%
"Baldones novads","Baldones vidusskola",55.61%
"Baltinavas novads","Baltinavas vidusskola",57.33%
"Balvu novads","Balvu 2.pamatskola",56.13%
"Balvu novads","Balvu Amatniecības vidusskola",42.12%
"Balvu novads","Balvu Vakara (maiņu) vidusskola",58.96%
"Balvu novads","Balvu Valsts ģimnāzija",63.48%
"Balvu novads","Briežuciema pamatskola",55.64%
