"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas Katoļu ģimnāzija",65.00%
"Aglonas novads","Aglonas internātvidusskola",46.63%
"Aizkraukles novads","Aizkraukles 1. vidusskola",63.56%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",56.36%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",58.74%
"Aizputes novads","Aizputes vidusskola",62.09%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",58.00%
"Aizputes novads","Aizputes pagasta pamatskola",55.54%
"Aizputes novads","Apriķu pamatskola",59.17%
"Aizputes novads","Dzērves pamatskola",64.07%
"Aizputes novads","Kalvenes pamatskola",73.60%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",65.68%
"Aknīstes novads","Aknīstes vidusskola",59.08%
"Aknīstes novads","Asares pamatskola",78.88%
"Aknīstes novads","Gārsenes pamatskola",62.73%
"Alojas novads","Alojas Ausekļa vidusskola",55.89%
"Alojas novads","Ozolmuižas pamatskola",58.25%
"Alojas novads","Puikules pamatskola",72.71%
"Alsungas novads","Alsungas vidusskola",60.00%
"Alūksnes novads","Alūksnes vidusskola",44.17%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",63.27%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",75.69%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",67.70%
"Alūksnes novads","Bejas pamatskola",58.18%
"Alūksnes novads","Ilzenes pamatskola",65.60%
"Alūksnes novads","Jaunlaicenes pamatskola",69.50%
"Alūksnes novads","Malienas pamatskola",59.44%
"Alūksnes novads","Mālupes pamatskola",57.14%
"Alūksnes novads","Mārkalnes pamatskola",63.30%
"Alūksnes novads","Strautiņu pamatskola",64.10%
"Alūksnes novads","Ziemeru pamatskola",59.83%
"Alūksnes novads","Pededzes pamatskola",74.31%
"Alūksnes novads","Liepnas vidusskola",63.78%
"Alūksnes novads","Liepnas internātpamatskola",61.60%
"Amatas novads","Amatas pamatskola",58.00%
"Amatas novads","Sērmūkšu pamatskola",57.56%
"Amatas novads","Skujenes pamatskola",51.75%
"Amatas novads","Zaubes pamatskola",61.29%
"Amatas novads","Nītaures vidusskola",61.54%
"Amatas novads","Drabešu internātpamatskola",46.25%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",64.15%
"Apes novads","Sikšņu pamatskola",46.80%
"Apes novads","Trapenes pamatskola",66.27%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",66.78%
"Apes novads","Gaujienas speciālā internātpamatskola",47.00%
"Auces novads","Auces vidusskola",55.12%
"Auces novads","Bēnes vidusskola",51.61%
"Ādažu novads","Ādažu vidusskola",61.90%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",72.64%
"Babītes novads","Babītes vidusskola",59.87%
"Baldones novads","Baldones Mūzikas pamatskola",62.22%
"Baldones novads","Baldones vidusskola",64.26%
"Baltinavas novads","Baltinavas vidusskola",71.69%
"Balvu novads","Balvu pamatskola",76.17%
"Balvu novads","Balvu Amatniecības vidusskola",70.53%
"Balvu novads","Balvu Valsts ģimnāzija",69.25%
"Balvu novads","Briežuciema pamatskola",62.40%
"Balvu novads","Bērzpils vidusskolas filiāle",73.60%
"Balvu novads","Mežvidu pamatskola (Viļakas)",34.00%
"Balvu novads","Stacijas pamatskola",56.71%
"Balvu novads","Tilžas internātpamatskola",61.81%
"Balvu novads","Bērzpils vidusskola",57.06%
"Balvu novads","Tilžas vidusskola",84.30%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",55.13%
"Bauskas novads","Bauskas 1. vidusskola",68.67%
"Bauskas novads","Bauskas 2. vidusskolaBauskas 2. vidusskola",68.91%
"Bauskas novads","Codes pamatskola",58.47%
"Bauskas novads","Griķu pamatskola",57.56%
"Bauskas novads","Mežgaļu pamatskola",75.25%
"Bauskas novads","Ozolaines pamatskola",43.50%
"Bauskas novads","Vecsaules pamatskola",63.76%
"Bauskas novads","Īslīces vidusskola",57.26%
"Bauskas novads","Uzvaras vidusskola",78.36%
"Bauskas novads","Mežotnes internātvidusskola",68.00%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",61.69%
"Beverīnas novads","Trikātas pamatskola",63.67%
"Burtnieku novads","Ēveles pamatskola",51.43%
"Burtnieku novads","Matīšu pamatskola",65.78%
"Burtnieku novads","Rencēnu pamatskola",62.50%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",57.94%
"Cesvaines novads","Cesvaines vidusskola",69.85%
"Cesvaines novads","Cesvaines internātpamatskola",46.00%
"Cēsu novads","Cēsu 1. pamatskola",71.71%
"Cēsu novads","Cēsu 2. pamatskola",59.04%
"Cēsu novads","Cēsu pilsētas pamatskola",64.19%
"Cēsu novads","Cēsu 2. vidusskola",66.33%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",70.29%
"Cēsu novads","Cēsu Valsts ģimnāzija",76.56%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",70.26%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",66.33%
"Cēsu novads","Rāmuļu pamatskola",56.56%
"Ciblas novads","Cirmas pamatskola",58.00%
"Ciblas novads","Pušmucovas pamatskola",65.63%
"Ciblas novads","Ciblas vidusskola",67.69%
"Dagdas novads","Dagdas vidusskola",80.42%
"Dagdas novads","Andrupenes pamatskola",61.33%
"Dagdas novads","Andzeļu pamatskola",74.00%
"Dagdas novads","Asūnes pamatskola",60.80%
"Dagdas novads","Šķaunes pamatskola",64.80%
"Dagdas novads","Ezernieku vidusskola",68.15%
"Daugavpils novads","Naujenes pamatskola",67.67%
"Daugavpils novads","Nīcgales pamatskola",66.75%
"Daugavpils novads","Biķernieku pamatskola",60.63%
"Daugavpils novads","Randenes pamatskola",59.75%
"Daugavpils novads","Silenes pamatskola",62.33%
"Daugavpils novads","Tabores pamatskola",50.33%
"Daugavpils novads","Kalupes pamatskola",70.31%
"Daugavpils novads","Lāču pamatskola",64.17%
"Daugavpils novads","Špoģu vidusskola",76.05%
"Daugavpils novads","Vaboles vidusskola",67.20%
"Daugavpils novads","Salienas vidusskola",82.29%
"Daugavpils novads","Sventes vidusskola",62.63%
"Daugavpils novads","Zemgales vidusskola",59.31%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",63.67%
"Daugavpils pilsēta","Daugavpils 11. pamatskola",51.14%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",80.10%
"Daugavpils pilsēta","Daugavpils 10. vidusskola",69.18%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",59.04%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",81.46%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",53.79%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",66.73%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",62.67%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",57.15%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",65.12%
"Daugavpils pilsēta","Daugavpils 9. vidusskola",63.10%
"Daugavpils pilsēta","Daugavpils pilsētas Centra ģimnāzija",67.49%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",69.11%
"Daugavpils pilsēta","Daugavpils Celtnieku profesionālā vidusskola",58.78%
"Daugavpils pilsēta","Daugavpils Mūzikas vidusskola",54.75%
"Daugavpils pilsēta","Daugavpils 4. speciālā pamatskola",46.00%
"Daugavpils pilsēta","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",83.17%
"Dobeles novads","Dobeles Kristīgā pamatskola",53.15%
"Dobeles novads","Dobeles 2. vidusskolaDobeles 2. vidusskola",33.34%
"Dobeles novads","Dobeles Valsts ģimnāzija",62.26%
"Dobeles novads","Mežinieku pamatskola",46.78%
"Dobeles novads","Penkules pamatskola",54.19%
"Dobeles novads","Lejasstrazdu pamatskola",31.58%
"Dundagas novads","Dundagas vidusskola",62.97%
"Durbes novads","Ata Kronvalda Durbes vidusskola",56.68%
"Durbes novads","A. Spāģa Dunalkas pamatskola",64.71%
"Durbes novads","Rāvas pamatskola",71.00%
"Engures novads","Lapmežciema pamatskola",53.55%
"Engures novads","Smārdes pamatskola",58.00%
"Engures novads","Engures vidusskola",59.03%
"Ērgļu novads","Jāņa Zālīša Sausnējas pamatskola",52.50%
"Ērgļu novads","Ērgļu vidusskola",62.44%
