"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",32.67%
"Aglonas novads","Šķeltovas pamatskola",71.33%
"Aglonas novads","Aglonas vidusskola",64.53%
"Aglonas novads","Aglonas Katoļu ģimnāzija",46.67%
"Aglonas novads","Aglonas internātvidusskola",48.67%
"Aizkraukles novads","Aizkraukles 1. vidusskola",51.70%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",36.53%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",56.27%
"Aizputes novads","Aizputes pagasta pamatskola",54.91%
"Aizputes novads","Apriķu pamatskola",58.44%
"Aizputes novads","Dzērves pamatskola",60.44%
"Aizputes novads","Kalvenes pamatskola",66.79%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",56.52%
"Aizputes novads","Aizputes vidusskola",57.51%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",48.89%
"Aizputes novads","Cīravas Profesionālā vidusskola",32.92%
"Aknīstes novads","Asares pamatskola",36.00%
"Aknīstes novads","Aknīstes vidusskola",49.58%
"Alojas novads","Ozolmuižas pamatskola",42.67%
"Alojas novads","Puikules pamatskola",61.00%
"Alojas novads","Alojas Ausekļa vidusskola",51.31%
"Alojas novads","Staiceles vidusskola",54.35%
"Alsungas novads","Alsungas vidusskola",64.58%
"Alūksnes novads","Bejas pamatskola",50.06%
"Alūksnes novads","Ilzenes pamatskola",74.00%
"Alūksnes novads","Jaunlaicenes pamatskola",60.67%
"Alūksnes novads","Malienas pamatskola",54.33%
"Alūksnes novads","Mālupes pamatskola",48.00%
"Alūksnes novads","Mārkalnes pamatskola",51.62%
"Alūksnes novads","Strautiņu pamatskola",56.36%
"Alūksnes novads","Ziemeru pamatskola",44.00%
"Alūksnes novads","Jaunannas Mūzikas un mākslas pamatskola",74.00%
"Alūksnes novads","Pededzes pamatskola",69.52%
"Alūksnes novads","Liepnas vidusskola",62.40%
"Alūksnes novads","Alūksnes novada vidusskola",45.56%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",66.01%
"Alūksnes novads","Alsviķu Profesionālā skola",36.80%
"Alūksnes novads","Liepnas internātpamatskola",36.40%
"Amatas novads","Amatas pamatskola",55.33%
"Amatas novads","Sērmūkšu pamatskola",62.22%
"Amatas novads","Skujenes pamatskola",40.00%
"Amatas novads","Zaubes pamatskola",47.11%
"Amatas novads","Nītaures vidusskola",53.33%
"Amatas novads","Drabešu internātpamatskola",41.93%
"Apes novads","Sikšņu pamatskola",61.33%
"Apes novads","Trapenes pamatskola",56.89%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",42.00%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",39.88%
"Apes novads","Gaujienas speciālā internātpamatskola",53.33%
"Auces novads","Auces vidusskola",46.45%
"Auces novads","Bēnes vidusskola",44.20%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",55.11%
"Ādažu novads","Ādažu vidusskola",66.38%
"Babītes novads","Babītes vidusskola",59.70%
"Baldones novads","Baldones Mūzikas pamatskola",75.69%
"Baldones novads","Baldones vidusskola",60.09%
"Baltinavas novads","Baltinavas vidusskola",50.78%
"Balvu novads","Briežuciema pamatskola",52.44%
"Balvu novads","Stacijas pamatskola",41.83%
"Balvu novads","Balvu pamatskola",58.83%
"Balvu novads","Balvu Amatniecības vidusskola",51.22%
"Balvu novads","Bērzpils vidusskola",45.17%
"Balvu novads","Tilžas vidusskola",49.07%
"Balvu novads","Balvu Valsts ģimnāzija",60.99%
"Balvu novads","Tilžas internātpamatskola",56.67%
"Bauskas novads","Bauskas pilsētas pamatskola",63.17%
"Bauskas novads","Codes pamatskola",39.60%
"Bauskas novads","Griķu pamatskola",55.43%
"Bauskas novads","Jaunsaules pamatskola",55.33%
"Bauskas novads","Mežgaļu pamatskola",64.50%
"Bauskas novads","Mežotnes pamatskola",38.67%
"Bauskas novads","Ozolaines pamatskola",53.48%
"Bauskas novads","Vecsaules pamatskola",57.33%
"Bauskas novads","Īslīces vidusskola",47.47%
"Bauskas novads","Uzvaras vidusskola",57.47%
"Bauskas novads","Bauskas 2. vidusskola",52.96%
"Bauskas novads","Bauskas Valsts ģimnāzija",71.05%
"Bauskas novads","Mežotnes internātvidusskola",27.33%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",60.10%
"Beverīnas novads","Trikātas pamatskola",51.08%
"Brocēnu novads","Blīdenes pamatskola",59.28%
"Brocēnu novads","Gaiķu pamatskola",71.69%
"Brocēnu novads","Remtes pamatskola",59.33%
"Brocēnu novads","Brocēnu vidusskola",50.98%
"Burtnieku novads","Ēveles pamatskola",66.89%
"Burtnieku novads","Matīšu pamatskola",61.93%
"Burtnieku novads","Rencēnu pamatskola",70.44%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",53.33%
"Carnikavas novads","Carnikavas pamatskola",47.03%
"Cesvaines novads","Cesvaines vidusskola",54.25%
"Cesvaines novads","Cesvaines internātpamatskola",34.00%
"Cēsu novads","Cēsu 1. pamatskola",50.53%
"Cēsu novads","Cēsu 2. pamatskola",57.88%
"Cēsu novads","Cēsu pilsētas pamatskola",48.37%
"Cēsu novads","Līvu pamatskola",44.67%
"Cēsu novads","Rāmuļu pamatskola",37.07%
"Cēsu novads","Cēsu 2. vidusskola",32.33%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",36.00%
"Cēsu novads","Cēsu Valsts ģimnāzija",80.97%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",68.37%
"Ciblas novads","Cirmas pamatskola",46.67%
