"municipality","school","renamed"
"Jēkabpils novads","Rubenes pamatskola (Jēkabpils)","Rubenes pamatskola (Jēkabpils novads)"
"Kocēnu novads","Rubenes pamatskola (Kocēnu)","Rubenes pamatskola (Kocēnu novads)"
"Preiļu novads","Salas pamatskola (Preiļi)","Salas pamatskola (Preiļu novads)"
"Saldus novads","Saldus ģimnāzija","NA"
"Saldus novads","Saldus novada pašvaldības Kurzemītes pamatskola","NA"
"Saldus novads","Saldus novada pašvaldības Sātiņu pamatskola","NA"
"Rundāles novads","Saulaines Profesionālā vidusskola","NA"
"Tukuma novads","Sēmes pamatskola","NA"
"Rīga","SIA „Rīgas Tālmācības vidusskola”","Rīgas Tālmācības vidusskola"
"Mālpils novads","Sidgundas pamatskola","NA"
"Siguldas novads","Siguldas 2. vidusskola","NA"
"Siguldas novads","Siguldas novada vidusskola","NA"
"Apes novads","Sikšņu pamatskola","Vidagas Sikšņu pamatskola (Apes novads)"
"Rucavas novads","Sikšņu pamatskola","Sikšņu pamatskola (Rucavas novads)"
"Apes novads","Sikšņu pamatskola (Ape)","Vidagas Sikšņu pamatskola (Apes novads)"
"Rucavas novads","Sikšņu pamatskola (Rucava)","Sikšņu pamatskola (Rucavas novads)"
"Riebiņu novads","Silajāņu pamatskola","NA"
"Krāslavas novads","Skaistas pamatskola","NA"
"Skrundas novads","Skrundas arodvidusskola","NA"
"Skrundas novads","Skrundas Profesionālā vidusskola","NA"
"Smiltenes novads","Smiltenes Valsts tehnikums – profesionālā vidusskola","Smiltenes tehnikums"
"Pārgaujas novads","Stalbes vidusskolas struktūrvienība","NA"
"Strenču novads","Strenču novada vidusskolas filiāle (Plāņu)","NA"
"Strenču novads","Strenču novada vidusskolas filiāle (Sedas)","NA"
"Ogres novads","Suntažu sanatorijas internātpamatskola","NA"
"Ogres novads","Taurupes vidusskola","Taurupes pamatskola"
"Tērvetes novads","Tērvetes pamatskola","NA"
"Balvu novads","Tilžas vidusskolas filiāle","NA"
"Tukuma novads","Tukuma 3. vidusskola","NA"
"Krimuldas novads","Turaidas pamatskola","NA"
"Valmiera","Valmieras 2.vidusskolas filiāle","NA"
"Valmiera","Valmieras Mākslas vidusskola","NA"
"Valmiera","Valmieras Profesionālā vidusskola","Valmieras tehnikums"
"Valmiera","Valmieras vājdzirdīgo bērnu internātpamatskola - attīstības centrs","NA"
"Vārkavas novads","Vanagu pamatskola","NA"
"Talsu novads","Vandzenes vidusskola","NA"
"Durbes novads","Vecpils pamatskola","NA"
"Vecumnieku novads","Vecumnieku novada Domes Bārbeles pamatskola","NA"
"Ventspils","Ventspils Profesionālā vidusskola","Ventspils Tehnikums"
"Ventspils","Ventspils Tehnikums","NA"
"Rīga","VSIA ""Rīgas pārtikas ražotāju vidusskola""","VSIA ""Rīgas Tūrisma un radošās industrijas tehnikums"""
"Jelgavas novads","Zaļenieku pamatskola","Zaļenieku komerciālā un amatniecības vidusskola"
"Jelgavas novads","Zaļenieku Profesionālā vidusskola","Zaļenieku komerciālā un amatniecības vidusskola"
"Rēzeknes novads","Zarečnajas pamatskola","Rēznas pamatskola"
"Daugavpils novads","Zemgales vidusskola","Zemgales vidusskola (Daugavpils novads)"
"Tukuma novads","Zemgales vidusskola","Zemgales vidusskola (Tukuma novads)"
"Daugavpils novads","Zemgales vidusskola (Daugavpils nov.)","Zemgales vidusskola (Daugavpils novads)"
"Daugavpils novads","Zemgales vidusskola (Daugavpils)","Zemgales vidusskola (Daugavpils novads)"
"Tukuma novads","Zemgales vidusskola (Tukuma nov.)","Zemgales vidusskola (Tukuma novads)"
"Tukuma novads","Zemgales vidusskola (Tukums)","Zemgales vidusskola (Tukuma novads)"
"Ventspils","Ziemeļkurzemes Profesionālās izglītības kompetences centrs ""Ventspils Profesionālā vidusskola""","Ventspils Tehnikums"
"Zilupes novads","Zilupes arodvidusskola","Rēzeknes tehnikums"
