"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas vidusskola",69.70%
"Aizkraukles novads","Aizkraukles 1. vidusskola",71.75%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",46.94%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",64.84%
"Aizputes novads","Aizputes vidusskola",59.34%
"Aknīstes novads","Aknīstes vidusskola",69.00%
"Alojas novads","Staiceles vidusskola",62.12%
"Alsungas novads","Alsungas vidusskola",68.03%
"Alūksnes novads","Alūksnes novada vidusskola",51.38%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",69.53%
"Amatas novads","Nītaures vidusskola",60.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",56.52%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",61.04%
"Auces novads","Auces vidusskola",72.98%
"Auces novads","Bēnes vidusskola",61.74%
"Ādažu novads","Ādažu vidusskola",66.60%
"Babītes novads","Babītes vidusskola",47.73%
"Baldones novads","Baldones vidusskola",75.00%
"Baltinavas novads","Baltinavas vidusskola",76.82%
"Balvu novads","Bērzpils vidusskola",80.56%
"Balvu novads","Tilžas vidusskola",55.91%
"Balvu novads","Balvu Valsts ģimnāzija",74.83%
"Bauskas novads","Bauskas 2. vidusskola",63.17%
"Bauskas novads","Īslīces vidusskola",59.43%
"Bauskas novads","Uzvaras vidusskola",53.79%
"Bauskas novads","Bauskas Valsts ģimnāzija",77.16%
"Cesvaines novads","Cesvaines vidusskola",64.83%
"Cēsu novads","Cēsu 2. vidusskola",59.81%
"Cēsu novads","Cēsu Valsts ģimnāzija",76.20%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",70.48%
"Dagdas novads","Ezernieku vidusskola",74.68%
"Daugavpils novads","Sventes vidusskola",65.44%
"Daugavpils novads","Vaboles vidusskola",67.42%
"Daugavpils novads","Zemgales vidusskola (Daugavpils novads)",61.11%
"Daugavpils novads","Salienas vidusskola",62.82%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",69.48%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",72.69%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",75.47%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",89.77%
"Daugavpils pilsēta","Daugavpils Centra vidusskola",70.12%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",82.79%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",71.72%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",51.30%
"Daugavpils pilsēta","Daugavpils 9. vidusskola",89.39%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",87.43%
"Daugavpils pilsēta","J.Pilsudska Daugavpils valsts poļu ģimnāzija",79.17%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",70.01%
"Dobeles novads","Dobeles 1. vidusskola",59.72%
"Dobeles novads","Dobeles Valsts ģimnāzija",74.90%
