"Novads","Skola","Kopvērtējums"
"Ludzas novads","Istras vidusskola",45.08%
"Madonas novads","Madonas pilsētas 2. vidusskola",65.36%
"Madonas novads","Madonas Vakara un neklātienes vidusskola",45.79%
"Mazsalacas novads","Mazsalacas vidusskola",71.34%
"Naukšēnu novads","Naukšēnu vidusskola",57.88%
"Neretas novads","Neretas Jāņa Jaunsudrabiņa vidusskola",48.99%
"Nīcas novads","Nīcas vidusskola",92.42%
"Ogres novads","Ogres 1. vidusskola",65.15%
"Ogres novads","Ogres Vakara vidusskola",47.66%
"Ogres novads","Madlienas vidusskola",54.17%
"Ogres novads","Suntažu vidusskola",83.98%
"Ogres novads","Taurupes vidusskola",75.87%
"Olaines novads","Olaines 1. vidusskola",69.65%
"Pļaviņu novads","Pļaviņu novada ģimnāzija",78.79%
"Preiļu novads","Preiļu novada Vakara (maiņu) un neklātienes vidusskola",45.21%
"Rēzeknes novads","Maltas 2. vidusskola",38.64%
"Rēzeknes novads","Dricānu vidusskola",81.82%
"Rēzeknes novads","Makašānu Amatu vidusskola",34.55%
"Rēzeknes novads","Tiskādu vidusskola",67.76%
"Rēzeknes pilsēta","Rēzeknes 2. vidusskola",93.94%
"Rēzeknes pilsēta","Rēzeknes 3. vidusskola",50.00%
"Rēzeknes pilsēta","Rēzeknes 4. vidusskola",75.76%
"Rēzeknes pilsēta","Rēzeknes 6. vidusskola",74.98%
"Rēzeknes pilsēta","Rēzeknes vakara vidusskola",48.26%
"Riebiņu novads","Riebiņu vidusskola",63.97%
"Rīgas pilsēta (Centra raj.)","Rīgas pilsētas 3. ģimnāzija",69.44%
"Rīgas pilsēta (Centra raj.)","Rīgas 99. vidusskola",57.58%
"Rīgas pilsēta (Centra raj.)","Rīgas Centra humanitārā vidusskola",75.76%
"Rīgas pilsēta (Centra raj.)","Rīgas 22. vidusskola",43.18%
"Rīgas pilsēta (Centra raj.)","Rīgas 40. vidusskola",86.09%
"Rīgas pilsēta (Centra raj.)","Rīgas Raiņa 8. vakara (maiņu) vidusskola",55.19%
"Rīgas pilsēta (Centra raj.)","Natālijas Draudziņas ģimnāzija",61.49%
"Rīgas pilsēta (Centra raj.)","Privātā Rīgas Tehnolingvistiskā ģimnāzija",93.60%
"Rīgas pilsēta (Kurzemes raj.)","Iļģuciema vidusskola",62.66%
"Rīgas pilsēta (Kurzemes raj.)","Privātā vidusskola ""Patnis""",63.64%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 19. vidusskola",59.45%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Doma kora skola",81.85%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Imantas vidusskola",62.88%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 68. vidusskola",55.30%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 71. vidusskola",84.85%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas Ostvalda vidusskola",67.22%
"Rīgas pilsēta (Kurzemes raj.)","Privātā vidusskola ""Templum""",68.31%
"Rīgas pilsēta (Kurzemes raj.)","Privātskola ""Latreia""",69.82%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 96. vidusskola",70.66%
"Rīgas pilsēta (Kurzemes raj.)","Rīgas 1. vakara (maiņu) vidusskola",53.16%
"Rīgas pilsēta (Kurzemes raj.)","Āgenskalna ģimnāzija",62.88%
"Rīgas pilsēta (Latgales priekšp.)","Kārļa Videnieka Rīgas 77. vidusskola",58.17%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 6. vidusskola",78.28%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 62. vidusskola",46.79%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 90. vidusskola",67.65%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Lietuviešu vidusskola",68.07%
"Rīgas pilsēta (Latgales priekšp.)","SIA „Rīgas Tālmācības vidusskola”",54.92%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 15. vidusskola",77.27%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 32. vidusskola",56.31%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 75. vidusskola",61.74%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 86. vidusskola",62.59%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas 92. vidusskola",39.05%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Universālā vidusskola",70.81%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas vakara ģimnāzija",53.04%
"Rīgas pilsēta (Latgales priekšp.)","Humanitārā privātģimnāzija",66.67%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas komercģimnāzija",84.34%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas ģimnāzija ""Maksima""",67.42%
"Rīgas pilsēta (Latgales priekšp.)","Rīgas Lastādijas internātvidusskola",43.18%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 49. vidusskola",77.26%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 84. vidusskola",71.21%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Ezerkrastu vidusskola",49.18%
"Rīgas pilsēta (Vidzemes priekšp.)","Privātā vidusskola ""MAXVEL""",91.67%
"Rīgas pilsēta (Vidzemes priekšp.)","Privātā vidusskola ""Norma""",81.06%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 60. vidusskola",54.42%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 74. vidusskola",90.15%
