"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",73.00%
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",47.00%
"Aglonas novads","Aglonas vidusskola",88.60%
"Aglonas novads","Aglonas internātvidusskola",77.00%
"Aizkraukles novads","Aizkraukles 1. vidusskola",62.46%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",58.00%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",73.36%
"Aizputes novads","Aizputes pagasta pamatskola",58.50%
"Aizputes novads","Apriķu pamatskola",43.50%
"Aizputes novads","Dzērves pamatskola",54.29%
"Aizputes novads","Kalvenes pamatskola",62.00%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",47.65%
"Aizputes novads","Aizputes vidusskola",67.79%
"Aknīstes novads","Asares pamatskola",68.00%
"Aknīstes novads","Gārsenes pamatskola",55.86%
"Aknīstes novads","Aknīstes vidusskola",72.63%
"Alojas novads","Ozolmuižas pamatskola",39.50%
"Alojas novads","Puikules pamatskola",48.50%
"Alojas novads","Alojas Ausekļa vidusskola",67.33%
"Alojas novads","Staiceles vidusskola",57.85%
"Alsungas novads","Alsungas vidusskola",58.92%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",53.40%
"Alūksnes novads","Bejas pamatskola",45.75%
"Alūksnes novads","Ilzenes pamatskola",62.86%
"Alūksnes novads","Jaunlaicenes pamatskola",60.33%
"Alūksnes novads","Malienas pamatskola",53.00%
"Alūksnes novads","Mālupes pamatskola",55.67%
"Alūksnes novads","Mārkalnes pamatskola",51.00%
"Alūksnes novads","Strautiņu pamatskola",68.50%
"Alūksnes novads","Ziemeru pamatskola",67.00%
"Alūksnes novads","Pededzes pamatskola",73.60%
"Alūksnes novads","Liepnas vidusskola",56.82%
"Alūksnes novads","Alūksnes novada vidusskola",69.54%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",76.00%
"Alūksnes novads","Liepnas internātpamatskola",62.75%
"Amatas novads","Amatas pamatskola",58.22%
"Amatas novads","Sērmūkšu pamatskola",66.75%
"Amatas novads","Skujenes pamatskola",55.60%
"Amatas novads","Zaubes pamatskola",64.00%
"Amatas novads","Nītaures vidusskola",75.20%
"Amatas novads","Drabešu internātpamatskola",56.00%
"Apes novads","Sikšņu pamatskola",55.71%
"Apes novads","Trapenes pamatskola",54.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",54.71%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",63.56%
"Apes novads","Gaujienas speciālā internātpamatskola",39.20%
"Auces novads","Auces vidusskola",54.13%
