"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",82.35%
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",65.65%
"Aglonas novads","Aglonas vidusskola",78.82%
"Aglonas novads","Aglonas Katoļu ģimnāzija",83.53%
"Aglonas novads","Aglonas internātvidusskola",41.03%
"Aizkraukles novads","Aizkraukles 1. vidusskola",63.83%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",61.47%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",63.47%
"Aizputes novads","Aizputes pagasta pamatskola",56.47%
"Aizputes novads","Apriķu pamatskola",55.88%
"Aizputes novads","Dzērves pamatskola",53.78%
"Aizputes novads","Kalvenes pamatskola",70.08%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",59.35%
"Aizputes novads","Aizputes vidusskola",61.49%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",35.88%
"Aknīstes novads","Asares pamatskola",79.41%
"Aknīstes novads","Gārsenes pamatskola",60.44%
"Aknīstes novads","Aknīstes vidusskola",60.06%
"Alojas novads","Ozolmuižas pamatskola",48.40%
"Alojas novads","Puikules pamatskola",56.08%
"Alojas novads","Alojas Ausekļa vidusskola",62.44%
"Alojas novads","Staiceles vidusskola",50.00%
"Alsungas novads","Alsungas vidusskola",56.67%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",58.04%
"Alūksnes novads","Bejas pamatskola",67.29%
"Alūksnes novads","Ilzenes pamatskola",79.71%
"Alūksnes novads","Jaunlaicenes pamatskola",60.52%
"Alūksnes novads","Malienas pamatskola",45.38%
"Alūksnes novads","Mālupes pamatskola",67.06%
"Alūksnes novads","Mārkalnes pamatskola",46.27%
"Alūksnes novads","Strautiņu pamatskola",67.94%
"Alūksnes novads","Ziemeru pamatskola",64.17%
"Alūksnes novads","Liepnas vidusskola",62.28%
"Alūksnes novads","Alūksnes novada vidusskola",59.15%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",77.63%
"Alūksnes novads","Liepnas internātpamatskola",62.02%
"Amatas novads","Amatas pamatskola",66.93%
"Amatas novads","Sērmūkšu pamatskola",69.41%
"Amatas novads","Skujenes pamatskola",65.55%
"Amatas novads","Zaubes pamatskola",60.00%
"Amatas novads","Nītaures vidusskola",58.82%
"Amatas novads","Drabešu internātpamatskola",56.34%
"Apes novads","Sikšņu pamatskola",63.03%
"Apes novads","Trapenes pamatskola",61.91%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",69.61%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",73.29%
"Apes novads","Gaujienas speciālā internātpamatskola",45.74%
"Auces novads","Auces vidusskola",60.42%
"Auces novads","Bēnes vidusskola",53.65%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",69.08%
"Ādažu novads","Ādažu vidusskola",61.37%
"Babītes novads","Babītes vidusskola",67.14%
"Baldones novads","Baldones Mūzikas pamatskola",73.94%
"Baldones novads","Baldones vidusskola",74.71%
"Baltinavas novads","Baltinavas vidusskola",72.71%
"Balvu novads","Briežuciema pamatskola",61.91%
"Balvu novads","Stacijas pamatskola",65.66%
"Balvu novads","Balvu pamatskola",62.35%
"Balvu novads","Balvu Amatniecības vidusskola",55.48%
