"Novads","Skola","Kopvērtējums"
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",48.00%
"Aglonas novads","Aglonas vidusskola",75.44%
"Aglonas novads","Priežmalas pamatskola",91.00%
"Aglonas novads","Aglonas internātvidusskola",70.00%
"Aizkraukles novads","Aizkraukles 1. vidusskola",69.63%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",47.75%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",72.68%
"Aizputes novads","Aizputes vidusskola",67.31%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",52.00%
"Aizputes novads","Aizputes pagasta pamatskola",65.82%
"Aizputes novads","Apriķu pamatskola",45.50%
"Aizputes novads","Dzērves pamatskola",60.33%
"Aizputes novads","Kalvenes pamatskola",64.60%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",73.85%
"Aknīstes novads","Aknīstes vidusskola",85.20%
"Aknīstes novads","Asares pamatskola",75.00%
"Aknīstes novads","Gārsenes pamatskola",68.17%
"Alojas novads","Staiceles vidusskola",65.95%
"Alojas novads","Alojas Ausekļa vidusskola",67.00%
"Alojas novads","Ozolmuižas pamatskola",46.25%
"Alojas novads","Puikules pamatskola",72.00%
"Alsungas novads","Alsungas vidusskola",65.00%
"Alūksnes novads","Alūksnes vidusskola",57.80%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",47.00%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",81.68%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",66.00%
"Alūksnes novads","Bejas pamatskola",81.67%
"Alūksnes novads","Ilzenes pamatskola",57.67%
"Alūksnes novads","Jaunlaicenes pamatskola",67.00%
"Alūksnes novads","Malienas pamatskola",71.60%
"Alūksnes novads","Mālupes pamatskola",51.33%
"Alūksnes novads","Mārkalnes pamatskola",56.75%
"Alūksnes novads","Strautiņu pamatskola",68.00%
"Alūksnes novads","Ziemeru pamatskola",74.13%
"Alūksnes novads","Pededzes pamatskola",65.56%
"Alūksnes novads","Liepnas vidusskola",66.43%
"Alūksnes novads","Liepnas internātpamatskola",42.00%
"Amatas novads","Sērmūkšu pamatskola",71.78%
"Amatas novads","Skujenes pamatskola",74.50%
"Amatas novads","Zaubes pamatskola",61.00%
"Amatas novads","Nītaures vidusskola",68.17%
"Amatas novads","Drabešu internātpamatskola",33.80%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",69.27%
"Apes novads","Sikšņu pamatskola",31.00%
"Apes novads","Trapenes pamatskola",75.29%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",66.17%
"Apes novads","Gaujienas speciālā internātpamatskola",56.57%
"Auces novads","Auces vidusskola",60.25%
"Auces novads","Bēnes vidusskola",57.08%
"Ādažu novads","Ādažu vidusskola",70.00%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",80.71%
"Babītes novads","Babītes vidusskola",71.15%
"Baldones novads","Baldones Mūzikas pamatskola",74.75%
"Baldones novads","Baldones vidusskola",74.55%
"Baltinavas novads","Baltinavas vidusskola",75.33%
"Balvu novads","Balvu pamatskola",62.67%
"Balvu novads","Balvu Amatniecības vidusskola",78.92%
"Balvu novads","Balvu Valsts ģimnāzija",70.22%
"Balvu novads","Briežuciema pamatskola",65.17%
"Balvu novads","Bērzpils vidusskolas filiāle",66.80%
"Balvu novads","Stacijas pamatskola",67.00%
"Balvu novads","Tilžas internātpamatskola",67.83%
"Balvu novads","Bērzpils vidusskola",56.75%
"Balvu novads","Tilžas vidusskola",74.11%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",56.40%
"Bauskas novads","Bauskas pilsētas pamatskola",74.18%
"Bauskas novads","Bauskas 1. vidusskola",78.72%
"Bauskas novads","Bauskas 2. vidusskola",67.07%
"Bauskas novads","Codes pamatskola",56.46%
"Bauskas novads","Griķu pamatskola",59.75%
"Bauskas novads","Mežgaļu pamatskola",66.89%
"Bauskas novads","Ozolaines pamatskola",53.00%
"Bauskas novads","Vecsaules pamatskola",75.64%
"Bauskas novads","Īslīces vidusskola",63.87%
"Bauskas novads","Uzvaras vidusskola",87.57%
"Bauskas novads","Mežotnes internātvidusskola",58.18%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",66.67%
"Beverīnas novads","Trikātas pamatskola",63.86%
"Brocēnu novads","Brocēnu vidusskola",65.81%
"Brocēnu novads","Blīdenes pamatskola",65.50%
"Brocēnu novads","Gaiķu pamatskola",55.00%
"Brocēnu novads","Remtes pamatskola",59.86%
"Burtnieku novads","Ēveles pamatskola",61.50%
