"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas vidusskola",86.00%
"Aglonas novads","Aglonas internātvidusskola",59.00%
"Aizkraukles novads","Aizkraukles 1. vidusskola",55.11%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",54.33%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",70.34%
"Aizputes novads","Aizputes pagasta pamatskola",60.00%
"Aizputes novads","Apriķu pamatskola",51.25%
"Aizputes novads","Dzērves pamatskola",69.08%
"Aizputes novads","Kalvenes pamatskola",71.10%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",67.33%
"Aizputes novads","Aizputes vidusskola",72.79%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",49.00%
"Aizputes novads","Cīravas Profesionālā vidusskola",51.50%
"Aknīstes novads","Gārsenes pamatskola",50.00%
"Aknīstes novads","Aknīstes vidusskola",73.67%
"Alojas novads","Ozolmuižas pamatskola",56.00%
"Alojas novads","Puikules pamatskola",71.67%
"Alojas novads","Alojas Ausekļa vidusskola",71.13%
"Alojas novads","Staiceles vidusskola",65.25%
"Alsungas novads","Alsungas vidusskola",57.88%
"Alūksnes novads","Bejas pamatskola",48.25%
"Alūksnes novads","Ilzenes pamatskola",62.00%
"Alūksnes novads","Jaunlaicenes pamatskola",75.50%
"Alūksnes novads","Malienas pamatskola",55.00%
"Alūksnes novads","Mālupes pamatskola",56.00%
"Alūksnes novads","Mārkalnes pamatskola",66.50%
"Alūksnes novads","Strautiņu pamatskola",58.14%
"Alūksnes novads","Ziemeru pamatskola",47.00%
"Alūksnes novads","Jaunannas Mūzikas un mākslas pamatskola",63.33%
"Alūksnes novads","Pededzes pamatskola",66.20%
"Alūksnes novads","Liepnas vidusskola",57.20%
"Alūksnes novads","Alūksnes novada vidusskola",60.50%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",71.36%
"Alūksnes novads","Alsviķu Profesionālā skola",47.00%
"Alūksnes novads","Liepnas internātpamatskola",49.00%
"Amatas novads","Amatas pamatskola",72.00%
"Amatas novads","Sērmūkšu pamatskola",63.33%
"Amatas novads","Skujenes pamatskola",64.33%
"Amatas novads","Zaubes pamatskola",53.67%
"Amatas novads","Nītaures vidusskola",76.00%
"Amatas novads","Drabešu internātpamatskola",52.80%
"Apes novads","Sikšņu pamatskola",71.67%
"Apes novads","Trapenes pamatskola",60.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",62.89%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",54.50%
"Apes novads","Gaujienas speciālā internātpamatskola",49.50%
"Auces novads","Auces vidusskola",63.16%
"Auces novads","Bēnes vidusskola",56.79%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",73.25%
"Ādažu novads","Ādažu vidusskola",69.63%
"Babītes novads","Babītes vidusskola",76.84%
"Baldones novads","Baldones Mūzikas pamatskola",82.55%
"Baldones novads","Baldones vidusskola",69.26%
"Baltinavas novads","Baltinavas vidusskola",88.25%
"Balvu novads","Briežuciema pamatskola",68.33%
"Balvu novads","Stacijas pamatskola",40.00%
"Balvu novads","Balvu pamatskola",56.25%
"Balvu novads","Bērzpils vidusskola",64.29%
"Balvu novads","Tilžas vidusskola",52.47%
"Balvu novads","Balvu Valsts ģimnāzija",68.54%
"Balvu novads","Tilžas internātpamatskola",55.67%
"Bauskas novads","Bauskas pilsētas pamatskola",67.63%
"Bauskas novads","Codes pamatskola",54.88%
"Bauskas novads","Griķu pamatskola",52.20%
"Bauskas novads","Jaunsaules pamatskola",66.50%
"Bauskas novads","Mežgaļu pamatskola",71.71%
"Bauskas novads","Mežotnes pamatskola",63.33%
"Bauskas novads","Ozolaines pamatskola",61.50%
"Bauskas novads","Vecsaules pamatskola",70.83%
"Bauskas novads","Īslīces vidusskola",61.44%
"Bauskas novads","Uzvaras vidusskola",80.32%
"Bauskas novads","Bauskas 2. vidusskola",64.77%
"Bauskas novads","Bauskas Valsts ģimnāzija",77.25%
"Bauskas novads","Mežotnes internātvidusskola",41.67%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",58.11%
"Beverīnas novads","Trikātas pamatskola",57.00%
