"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",62.27%
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",56.52%
"Aglonas novads","Šķeltovas pamatskola",64.55%
"Aglonas novads","Aglonas vidusskola",68.35%
"Aglonas novads","Aglonas internātvidusskola",54.55%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",45.27%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",65.45%
"Aizputes novads","Aizputes pagasta pamatskola",56.27%
"Aizputes novads","Apriķu pamatskola",65.19%
"Aizputes novads","Dzērves pamatskola",61.82%
"Aizputes novads","Kalvenes pamatskola",77.27%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",63.81%
"Aizputes novads","Aizputes vidusskola",53.21%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",51.82%
"Aknīstes novads","Asares pamatskola",58.86%
"Aknīstes novads","Gārsenes pamatskola",56.52%
"Aknīstes novads","Aknīstes vidusskola",74.90%
"Alojas novads","Ozolmuižas pamatskola",58.79%
"Alojas novads","Alojas Ausekļa vidusskola",59.57%
"Alojas novads","Staiceles vidusskola",57.52%
"Alsungas novads","Alsungas vidusskola",67.07%
"Alūksnes novads","Bejas pamatskola",61.72%
"Alūksnes novads","Ilzenes pamatskola",62.61%
"Alūksnes novads","Jaunlaicenes pamatskola",71.32%
"Alūksnes novads","Malienas pamatskola",65.23%
"Alūksnes novads","Mālupes pamatskola",62.61%
"Alūksnes novads","Mārkalnes pamatskola",56.14%
"Alūksnes novads","Pededzes pamatskola",57.45%
"Alūksnes novads","Strautiņu pamatskola",57.78%
"Alūksnes novads","Ziemeru pamatskola",69.90%
"Alūksnes novads","Alūksnes novada vidusskola",54.85%
"Alūksnes novads","Liepnas vidusskola",70.36%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",60.78%
"Alūksnes novads","Liepnas internātpamatskola",71.36%
"Amatas novads","Amatas pamatskola",64.46%
"Amatas novads","Sērmūkšu pamatskola",59.70%
"Amatas novads","Skujenes pamatskola",65.57%
"Amatas novads","Zaubes pamatskola",63.18%
"Amatas novads","Nītaures vidusskola",63.82%
"Amatas novads","Drabešu internātpamatskola",51.57%
"Apes novads","Sikšņu pamatskola (Apes novads)",58.55%
"Apes novads","Trapenes pamatskola",42.42%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",69.09%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",67.47%
"Apes novads","Gaujienas internātpamatskola",61.59%
"Auces novads","Auces vidusskola",62.09%
"Auces novads","Bēnes vidusskola",66.84%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",69.39%
"Ādažu novads","Ādažu vidusskola",67.44%
"Babītes novads","Babītes vidusskola",67.22%
"Baldones novads","Baldones Mūzikas pamatskola",78.31%
"Baldones novads","Baldones vidusskola",60.91%
"Baltinavas novads","Baltinavas vidusskola",75.64%
"Balvu novads","Briežuciema pamatskola",69.66%
"Balvu novads","Stacijas pamatskola",56.82%
"Balvu novads","Balvu Amatniecības vidusskola",53.23%
"Balvu novads","Bērzpils vidusskola",66.82%
"Balvu novads","Tilžas vidusskola",69.34%
"Balvu novads","Tilžas vidusskolas Vectilžas filiāle",67.27%
"Balvu novads","Balvu Valsts ģimnāzija",71.84%
"Balvu novads","Tilžas internātpamatskola",59.39%
"Bauskas novads","Bauskas pilsētas pamatskola",70.83%
"Bauskas novads","Codes pamatskola",67.69%
"Bauskas novads","Griķu pamatskola",51.36%
"Bauskas novads","Jaunsaules pamatskola",71.17%
"Bauskas novads","Mežgaļu pamatskola",75.34%
"Bauskas novads","Mežotnes pamatskola",57.60%
"Bauskas novads","Ozolaines pamatskola",76.67%
"Bauskas novads","Vecsaules pamatskola",74.79%
"Bauskas novads","Bauskas 2. vidusskola",60.41%
"Bauskas novads","Īslīces vidusskola",65.76%
"Bauskas novads","Uzvaras vidusskola",69.45%
"Bauskas novads","Bauskas Valsts ģimnāzija",70.91%
"Bauskas novads","Mežotnes internātvidusskola",57.36%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",60.36%
"Beverīnas novads","Trikātas pamatskola",77.27%
"Brocēnu novads","Blīdenes pamatskola",62.23%
"Brocēnu novads","Gaiķu pamatskola",58.18%
"Brocēnu novads","Remtes pamatskola",65.15%
"Brocēnu novads","Brocēnu vidusskola",59.59%
"Burtnieku novads","Ēveles pamatskola",52.84%
"Burtnieku novads","Matīšu pamatskola",62.39%
"Burtnieku novads","Rencēnu pamatskola",60.61%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",65.58%
"Cesvaines novads","Cesvaines vidusskola",69.55%
"Cesvaines novads","Cesvaines internātpamatskola",57.79%
"Cēsu novads","Cēsu 1. pamatskola",60.94%
"Cēsu novads","Cēsu 2. pamatskola",67.39%
"Cēsu novads","Cēsu pilsētas pamatskola",60.55%
"Cēsu novads","Līvu pamatskola",65.45%
"Cēsu novads","Rāmuļu pamatskola",66.49%
"Cēsu novads","Cēsu 2. vidusskola",52.08%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",62.42%
"Cēsu novads","Cēsu Valsts ģimnāzija",79.79%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",74.17%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",54.09%
"Ciblas novads","Pušmucovas pamatskola",59.82%
"Ciblas novads","Ciblas vidusskola",57.60%
"Dagdas novads","Andrupenes pamatskola",65.12%
"Dagdas novads","Andzeļu pamatskola",56.82%
"Dagdas novads","Asūnes pamatskola",72.73%
"Dagdas novads","Dagdas vidusskola",67.30%
"Dagdas novads","Ezernieku vidusskola",66.36%
"Daugavpils novads","Kalupes pamatskola",61.11%
"Daugavpils novads","Medumu pamatskola",62.73%
"Daugavpils novads","Naujenes pamatskola",70.45%
"Daugavpils novads","Nīcgales pamatskola",62.60%
"Daugavpils novads","Skrudalienas pamatskola",63.03%
"Daugavpils novads","Lāču pamatskola",60.34%
"Daugavpils novads","Sventes vidusskola",57.07%
"Daugavpils novads","Vaboles vidusskola",57.65%
"Daugavpils novads","Špoģu vidusskola",77.82%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",59.91%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",70.95%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",67.24%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",57.27%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",72.96%
"Daugavpils pilsēta","Daugavpils Mūzikas vidusskola",63.64%
"Daugavpils pilsēta","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",57.73%
"Dobeles novads","Dobeles Kristīgā pamatskola",54.18%
"Dobeles novads","Annenieku pamatskola",48.48%
"Dobeles novads","Bikstu pamatskola",69.24%
"Dobeles novads","Gardenes pamatskola",44.18%
"Dobeles novads","Krimūnu pamatskola",56.36%
"Dobeles novads","Lejasstrazdu pamatskola",51.69%
"Dobeles novads","Mežinieku pamatskola",60.17%
"Dobeles novads","Naudītes pamatskola",53.18%
"Dobeles novads","Penkules pamatskola",64.91%
"Dobeles novads","Dobeles 1. vidusskola",54.46%
"Dobeles novads","Dobeles Valsts ģimnāzija",67.58%
"Dobeles novads","Dobeles Amatniecības un vispārizglītojošā vidusskola",52.12%
"Dundagas novads","Kolkas pamatskola",64.00%
"Dundagas novads","Dundagas vidusskola",62.42%
"Durbes novads","A. Spāģa Dunalkas pamatskola",61.82%
"Durbes novads","Ata Kronvalda Durbes vidusskola",70.74%
"Engures novads","Lapmežciema pamatskola",76.22%
"Engures novads","Smārdes pamatskola",61.27%
"Engures novads","Engures vidusskola",61.52%
"Ērgļu novads","Jāņa Zālīša Sausnējas pamatskola",71.59%
"Ērgļu novads","Ērgļu vidusskola",56.68%
"Ērgļu novads","Ērgļu Profesionālā vidusskola",56.14%
"Garkalnes novads","Garkalnes Mākslu un vispārizglītojošā vidusskola",50.26%
"Garkalnes novads","Berģu Mūzikas un mākslas pamatskola",63.23%
"Grobiņas novads","Bārtas pamatskola",61.30%
"Grobiņas novads","Gaviezes pamatskola",70.23%
"Grobiņas novads","Kapsēdes pamatskola",75.04%
"Grobiņas novads","Grobiņas pamatskola",60.70%
"Grobiņas novads","Grobiņas ģimnāzija",71.82%
"Gulbenes novads","Daukstes pamatskola",60.91%
"Gulbenes novads","Druvienas pamatskola",67.58%
"Gulbenes novads","K. Valdemāra pamatskola",54.73%
"Gulbenes novads","Litenes pamatskola",60.30%
"Gulbenes novads","Rankas pamatskola",60.55%
"Gulbenes novads","Stāķu pamatskola",63.29%
"Gulbenes novads","Stāmerienas pamatskola",56.73%
"Gulbenes novads","Tirzas pamatskola",57.36%
"Gulbenes novads","Gulbenes 2. vidusskola",53.61%
"Gulbenes novads","Gulbenes vidusskola",58.09%
"Gulbenes novads","Gulbīša vidusskola",51.82%
"Gulbenes novads","Lejasciema vidusskola",64.32%
"Gulbenes novads","Lizuma vidusskola",65.21%
"Gulbenes novads","Gulbenes Vakara (maiņu) vidusskola",42.42%
"Gulbenes novads","Gulbenes novada valsts ģimnāzija",72.33%
"Gulbenes novads","Rankas Profesionālā vidusskola",48.41%
"Iecavas novads","Dzimtmisas pamatskola",66.87%
"Iecavas novads","Iecavas vidusskola",63.73%
