"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",39.71%
"Aglonas novads","Šķeltovas pamatskola",67.94%
"Aglonas novads","Aglonas vidusskola",69.16%
"Aglonas novads","Aglonas Katoļu ģimnāzija",74.12%
"Aglonas novads","Aglonas internātvidusskola",47.25%
"Aizkraukles novads","Aizkraukles 1. vidusskola",53.46%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",55.18%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",60.37%
"Aizputes novads","Aizputes pagasta pamatskola",61.93%
"Aizputes novads","Apriķu pamatskola",74.90%
"Aizputes novads","Dzērves pamatskola",72.73%
"Aizputes novads","Kalvenes pamatskola",76.47%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",65.82%
"Aizputes novads","Aizputes vidusskola",69.26%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",71.76%
"Aizputes novads","Cīravas Profesionālā vidusskola",56.91%
"Aknīstes novads","Asares pamatskola",60.00%
"Aknīstes novads","Gārsenes pamatskola",63.73%
"Alojas novads","Ozolmuižas pamatskola",47.84%
"Alojas novads","Puikules pamatskola",74.12%
"Alojas novads","Alojas Ausekļa vidusskola",59.91%
"Alojas novads","Staiceles vidusskola",59.93%
"Alsungas novads","Alsungas vidusskola",61.54%
"Alūksnes novads","Bejas pamatskola",60.00%
"Alūksnes novads","Ilzenes pamatskola",69.61%
"Alūksnes novads","Jaunlaicenes pamatskola",62.65%
"Alūksnes novads","Malienas pamatskola",61.76%
"Alūksnes novads","Mālupes pamatskola",56.47%
"Alūksnes novads","Mārkalnes pamatskola",66.55%
"Alūksnes novads","Strautiņu pamatskola",63.10%
"Alūksnes novads","Ziemeru pamatskola",61.57%
"Alūksnes novads","Jaunannas Mūzikas un mākslas pamatskola",65.88%
"Alūksnes novads","Pededzes pamatskola",77.65%
"Alūksnes novads","Liepnas vidusskola",67.29%
"Alūksnes novads","Alūksnes novada vidusskola",54.02%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",78.11%
"Alūksnes novads","Alsviķu Profesionālā skola",48.00%
"Alūksnes novads","Liepnas internātpamatskola",42.24%
"Amatas novads","Amatas pamatskola",63.53%
"Amatas novads","Sērmūkšu pamatskola",70.39%
"Amatas novads","Skujenes pamatskola",66.59%
"Amatas novads","Zaubes pamatskola",70.98%
"Amatas novads","Nītaures vidusskola",67.65%
"Amatas novads","Drabešu internātpamatskola",61.18%
"Apes novads","Sikšņu pamatskola",68.47%
"Apes novads","Trapenes pamatskola",54.51%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",60.50%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",66.31%
"Apes novads","Gaujienas speciālā internātpamatskola",64.90%
"Auces novads","Auces vidusskola",55.34%
"Auces novads","Bēnes vidusskola",54.82%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",68.89%
"Ādažu novads","Ādažu vidusskola",64.76%
"Babītes novads","Babītes vidusskola",69.15%
"Baldones novads","Baldones Mūzikas pamatskola",71.67%
"Baldones novads","Baldones vidusskola",76.06%
"Baltinavas novads","Baltinavas vidusskola",61.18%
"Balvu novads","Briežuciema pamatskola",69.41%
"Balvu novads","Stacijas pamatskola",65.29%
"Balvu novads","Balvu pamatskola",67.79%
"Balvu novads","Balvu Amatniecības vidusskola",68.39%
"Balvu novads","Bērzpils vidusskola",58.24%
"Balvu novads","Tilžas vidusskola",72.08%
"Balvu novads","Balvu Valsts ģimnāzija",60.82%
"Balvu novads","Tilžas internātpamatskola",63.14%
"Bauskas novads","Bauskas pilsētas pamatskola",71.88%
"Bauskas novads","Codes pamatskola",50.59%
"Bauskas novads","Griķu pamatskola",59.50%
"Bauskas novads","Jaunsaules pamatskola",63.82%
"Bauskas novads","Mežgaļu pamatskola",71.47%
"Bauskas novads","Mežotnes pamatskola",53.73%
"Bauskas novads","Ozolaines pamatskola",56.34%
"Bauskas novads","Vecsaules pamatskola",61.76%
"Bauskas novads","Īslīces vidusskola",55.06%
"Bauskas novads","Uzvaras vidusskola",68.15%
"Bauskas novads","Bauskas 2. vidusskola",56.69%
"Bauskas novads","Bauskas Valsts ģimnāzija",79.79%
"Bauskas novads","Mežotnes internātvidusskola",49.22%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",60.72%
"Beverīnas novads","Trikātas pamatskola",56.83%
"Brocēnu novads","Blīdenes pamatskola",59.91%
"Brocēnu novads","Gaiķu pamatskola",77.65%
"Brocēnu novads","Remtes pamatskola",66.27%
"Brocēnu novads","Brocēnu vidusskola",66.92%
"Burtnieku novads","Ēveles pamatskola",61.57%
"Burtnieku novads","Matīšu pamatskola",67.84%
"Burtnieku novads","Rencēnu pamatskola",71.08%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",65.41%
"Carnikavas novads","Carnikavas pamatskola",61.93%
"Cesvaines novads","Cesvaines vidusskola",68.88%
"Cesvaines novads","Cesvaines internātpamatskola",45.88%
"Cēsu novads","Cēsu 1. pamatskola",66.78%
"Cēsu novads","Cēsu 2. pamatskola",63.86%
"Cēsu novads","Cēsu pilsētas pamatskola",60.42%
"Cēsu novads","Līvu pamatskola",65.29%
"Cēsu novads","Rāmuļu pamatskola",60.71%
"Cēsu novads","Cēsu 2. vidusskola",56.47%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",53.73%
"Cēsu novads","Cēsu Valsts ģimnāzija",77.62%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",79.44%
"Ciblas novads","Pušmucovas pamatskola",73.53%
"Dagdas novads","Šķaunes pamatskola",61.41%
"Dagdas novads","Andrupenes pamatskola",60.65%
"Dagdas novads","Andzeļu pamatskola",59.08%
"Dagdas novads","Asūnes pamatskola",67.06%
"Dagdas novads","Ezernieku vidusskola",70.59%
"Dagdas novads","Dagdas vidusskola",66.20%
"Daugavpils novads","Naujenes pamatskola",48.34%
"Daugavpils novads","Nīcgales pamatskola",62.94%
"Daugavpils novads","Skrudalienas pamatskola",57.94%
"Daugavpils novads","Biķernieku pamatskola",64.71%
"Daugavpils novads","Birznieku pamatskola",48.24%
"Daugavpils novads","Randenes pamatskola",68.24%
"Daugavpils novads","Tabores pamatskola",63.76%
"Daugavpils novads","Kalupes pamatskola",58.43%
"Daugavpils novads","Lāču pamatskola",52.09%
"Daugavpils novads","Vaboles vidusskola",68.13%
"Daugavpils novads","Zemgales vidusskola (Daugavpils nov.)",57.96%
"Daugavpils novads","Sventes vidusskola",71.03%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",67.10%
"Daugavpils pilsēta","Daugavpils 11. pamatskola",53.92%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",81.67%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",69.35%
"Daugavpils pilsēta","Daugavpils 10. vidusskola",73.20%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",70.26%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",83.24%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",66.39%
"Daugavpils pilsēta","Daugavpils Centra vidusskola",71.00%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",79.39%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",68.00%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",61.61%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",69.67%
"Daugavpils pilsēta","Daugavpils 9. vidusskola",64.60%
"Daugavpils pilsēta","J.Pilsudska Daugavpils valsts poļu ģimnāzija",81.62%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",79.78%
"Daugavpils pilsēta","Daugavpils Celtnieku profesionālā vidusskola",47.56%
"Daugavpils pilsēta","Daugavpils Mūzikas vidusskola",63.53%
"Daugavpils pilsēta","Daugavpils Valsts tehnikums",38.46%
"Daugavpils pilsēta","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",55.63%
"Dobeles novads","Dobeles Kristīgā pamatskola",73.97%
"Dobeles novads","Bikstu pamatskola",65.99%
"Dobeles novads","Gardenes pamatskola",51.76%
"Dobeles novads","Krimūnu pamatskola",54.82%
"Dobeles novads","Naudītes pamatskola",50.98%
"Dobeles novads","Penkules pamatskola",63.01%
