Ethnicity,LvCitizens,LvNonCitizens,LvAlternative,LvStateless,LvRefugee,LvTemp,Foreign,Total
TURKS,20,4,0,0,1,0,290,315
TUVIETIS,0,1,0,0,0,0,1,2
UDMURTS,44,170,0,1,0,0,37,252
UDS,3,16,0,0,0,0,5,24
UIGURS,6,3,0,0,0,0,16,25
UKRAINIS,18526,28157,0,19,2,0,6212,52916
UNGĀRS,137,113,0,0,0,0,48,298
URUGVAJIETIS,0,0,0,0,0,0,4,4
UZBEKS,86,138,3,1,0,0,459,687
VALONIS,0,0,0,0,0,0,2,2
VĀCIETIS,2200,1133,0,0,0,0,1589,4922
VELSIETIS,0,0,0,0,0,0,1,1
VENECUĒLIETIS,0,0,0,0,0,0,11,11
VEPSS,0,6,0,0,0,0,3,9
VJETNAMIETIS,3,0,0,0,0,0,16,19
ZVIEDRS,26,7,0,0,0,0,457,490
